V: 30
E: 87
Edge_Id Vi Vj
e1      1  2
e2      2  3
e3      2  10
e4      2  25
e5      3  4
e6      3  24
e7      4  5
e8      4  8
e9      4  15
e10     4  16
e11     4  18
e12     4  24
e13     4  29
e14     5  6
e15     5  13
e16     5  18
e17     6  7
e18     6  10
e19     6  11
e20     6  16
e21     7  8
e22     7  20
e23     7  24
e24     8  9
e25     8  13
e26     8  14
e27     8  15
e28     8  20
e29     8  24
e30     9  10
e31     9  19
e32     9  21
e33     9  24
e34     9  26
e35     9  30
e36     10 11
e37     10 12
e38     10 20
e39     10 21
e40     10 25
e41     11 12
e42     11 14
e43     11 15
e44     11 18
e45     11 19
e46     11 29
e47     12 13
e48     12 17
e49     12 29
e50     12 30
e51     13 14
e52     13 19
e53     13 29
e54     14 15
e55     14 16
e56     14 25
e57     14 26
e58     14 29
e59     15 16
e60     15 21
e61     15 24
e62     15 26
e63     15 28
e64     16 17
e65     17 18
e66     17 25
e67     18 19
e68     18 27
e69     18 29
e70     19 20
e71     19 27
e72     20 21
e73     20 22
e74     20 26
e75     20 27
e76     21 22
e77     21 25
e78     22 23
e79     22 24
e80     23 24
e81     23 26
e82     24 25
e83     25 26
e84     26 27
e85     27 28
e86     28 29
e87     29 30
