V: 100
E: 495
Edge_Id Vi  Vj
e1      1   2
e2      1   16
e3      1   62
e4      2   3
e5      2   9
e6      2   36
e7      2   53
e8      2   61
e9      2   69
e10     2   80
e11     2   87
e12     3   4
e13     3   10
e14     3   12
e15     3   13
e16     3   18
e17     3   32
e18     3   39
e19     3   67
e20     3   95
e21     4   5
e22     4   28
e23     4   44
e24     4   60
e25     4   62
e26     4   70
e27     4   71
e28     4   85
e29     4   99
e30     5   6
e31     5   9
e32     5   15
e33     5   19
e34     5   55
e35     6   7
e36     6   28
e37     6   31
e38     6   37
e39     6   56
e40     6   59
e41     6   66
e42     6   79
e43     6   83
e44     6   98
e45     7   8
e46     7   17
e47     7   25
e48     7   31
e49     7   34
e50     7   53
e51     7   54
e52     7   89
e53     7   90
e54     8   9
e55     8   18
e56     8   29
e57     8   31
e58     8   33
e59     8   61
e60     8   88
e61     8   92
e62     9   10
e63     9   12
e64     9   14
e65     9   17
e66     9   21
e67     9   22
e68     9   24
e69     9   27
e70     9   28
e71     9   37
e72     9   55
e73     9   56
e74     9   70
e75     9   73
e76     9   79
e77     9   82
e78     9   86
e79     9   90
e80     9   91
e81     9   96
e82     10  11
e83     10  27
e84     10  38
e85     10  44
e86     10  47
e87     10  48
e88     10  50
e89     10  63
e90     10  90
e91     10  98
e92     11  12
e93     11  19
e94     11  32
e95     11  36
e96     11  41
e97     11  53
e98     11  67
e99     11  88
e100    12  13
e101    12  27
e102    12  30
e103    12  49
e104    12  53
e105    12  57
e106    12  64
e107    12  66
e108    12  71
e109    12  80
e110    12  90
e111    12  94
e112    13  14
e113    13  24
e114    13  30
e115    13  31
e116    13  83
e117    13  93
e118    13  96
e119    13  100
e120    14  15
e121    14  28
e122    14  33
e123    14  48
e124    14  53
e125    14  62
e126    14  78
e127    14  92
e128    15  16
e129    15  47
e130    15  61
e131    15  77
e132    15  78
e133    16  17
e134    16  40
e135    16  83
e136    16  86
e137    17  18
e138    17  28
e139    17  33
e140    17  48
e141    17  53
e142    18  19
e143    18  20
e144    18  28
e145    18  36
e146    18  63
e147    18  65
e148    18  72
e149    18  79
e150    18  86
e151    18  89
e152    18  91
e153    19  20
e154    19  27
e155    19  34
e156    19  59
e157    19  63
e158    19  70
e159    19  89
e160    19  99
e161    20  21
e162    20  27
e163    20  29
e164    20  35
e165    20  37
e166    20  46
e167    20  68
e168    20  70
e169    20  80
e170    20  90
e171    20  99
e172    21  22
e173    21  32
e174    21  39
e175    21  43
e176    21  52
e177    21  54
e178    21  68
e179    21  72
e180    21  80
e181    21  90
e182    22  23
e183    22  25
e184    22  28
e185    22  58
e186    22  67
e187    23  24
e188    23  29
e189    23  41
e190    23  43
e191    23  57
e192    23  58
e193    23  64
e194    23  73
e195    23  99
e196    24  25
e197    24  37
e198    24  49
e199    24  56
e200    24  58
e201    24  68
e202    24  74
e203    24  88
e204    25  26
e205    25  27
e206    25  37
e207    25  56
e208    25  57
e209    25  63
e210    25  67
e211    25  71
e212    25  76
e213    25  78
e214    26  27
e215    26  30
e216    26  50
e217    26  52
e218    26  84
e219    26  91
e220    27  28
e221    27  30
e222    27  35
e223    27  36
e224    27  41
e225    27  57
e226    27  72
e227    27  79
e228    27  95
e229    27  98
e230    27  100
e231    28  29
e232    28  37
e233    28  43
e234    28  45
e235    28  53
e236    28  67
e237    28  72
e238    28  78
e239    28  95
e240    28  98
e241    29  30
e242    29  31
e243    29  40
e244    29  59
e245    29  60
e246    29  79
e247    30  31
e248    30  38
e249    30  43
e250    31  32
e251    31  69
e252    31  86
e253    32  33
e254    32  37
e255    32  45
e256    32  65
e257    32  73
e258    33  34
e259    33  36
e260    33  69
e261    33  93
e262    33  94
e263    33  99
e264    34  35
e265    34  57
e266    34  60
e267    34  62
e268    34  80
e269    34  91
e270    35  36
e271    35  63
e272    35  67
e273    35  82
e274    36  37
e275    36  55
e276    36  59
e277    36  96
e278    37  38
e279    37  39
e280    37  58
e281    37  72
e282    37  80
e283    37  96
e284    38  39
e285    38  40
e286    38  43
e287    38  59
e288    38  64
e289    39  40
e290    39  55
e291    39  91
e292    40  41
e293    40  48
e294    40  59
e295    40  67
e296    40  74
e297    40  80
e298    41  42
e299    41  45
e300    41  68
e301    41  70
e302    41  72
e303    41  73
e304    41  77
e305    42  43
e306    42  71
e307    43  44
e308    43  58
e309    43  59
e310    43  71
e311    44  45
e312    44  46
e313    44  51
e314    44  69
e315    44  71
e316    44  75
e317    44  85
e318    45  46
e319    45  62
e320    45  74
e321    45  89
e322    45  93
e323    46  47
e324    46  53
e325    46  64
e326    46  73
e327    46  86
e328    47  48
e329    47  68
e330    47  82
e331    47  85
e332    47  92
e333    47  95
e334    48  49
e335    48  57
e336    48  70
e337    48  79
e338    48  88
e339    48  96
e340    48  99
e341    49  50
e342    49  54
e343    49  100
e344    50  51
e345    50  52
e346    50  54
e347    50  55
e348    50  73
e349    50  87
e350    51  52
e351    51  60
e352    51  73
e353    51  99
e354    52  53
e355    52  61
e356    52  71
e357    52  82
e358    52  83
e359    52  92
e360    53  54
e361    53  85
e362    53  86
e363    53  95
e364    54  55
e365    54  63
e366    54  65
e367    54  70
e368    54  95
e369    54  96
e370    54  100
e371    55  56
e372    55  57
e373    55  66
e374    55  76
e375    55  77
e376    55  84
e377    56  57
e378    56  72
e379    56  81
e380    56  95
e381    57  58
e382    57  86
e383    57  99
e384    58  59
e385    58  60
e386    58  81
e387    58  88
e388    58  94
e389    58  97
e390    59  60
e391    59  65
e392    59  77
e393    59  79
e394    59  84
e395    60  61
e396    60  72
e397    60  77
e398    60  82
e399    61  62
e400    61  75
e401    61  84
e402    61  91
e403    61  98
e404    62  63
e405    62  73
e406    62  88
e407    62  97
e408    63  64
e409    63  72
e410    63  74
e411    63  79
e412    63  90
e413    64  65
e414    64  66
e415    64  69
e416    64  94
e417    65  66
e418    65  79
e419    66  67
e420    66  75
e421    66  81
e422    66  93
e423    67  68
e424    67  71
e425    67  80
e426    67  81
e427    67  85
e428    67  86
e429    67  94
e430    67  98
e431    68  69
e432    68  76
e433    68  87
e434    68  92
e435    68  94
e436    69  70
e437    69  82
e438    69  84
e439    70  71
e440    71  72
e441    71  85
e442    71  96
e443    72  73
e444    72  74
e445    72  87
e446    72  90
e447    73  74
e448    73  89
e449    74  75
e450    74  85
e451    75  76
e452    75  86
e453    76  77
e454    76  78
e455    76  85
e456    76  91
e457    76  92
e458    76  94
e459    77  78
e460    77  81
e461    77  92
e462    78  79
e463    79  80
e464    80  81
e465    80  82
e466    80  90
e467    80  93
e468    81  82
e469    82  83
e470    83  84
e471    83  86
e472    83  87
e473    84  85
e474    84  88
e475    84  89
e476    84  90
e477    85  86
e478    86  87
e479    86  94
e480    86  95
e481    87  88
e482    88  89
e483    88  92
e484    89  90
e485    90  91
e486    91  92
e487    92  93
e488    93  94
e489    94  95
e490    95  96
e491    95  98
e492    96  97
e493    97  98
e494    98  99
e495    99  100
