V: 70
E: 483
Edge_Id Vi Vj
e1      1  2
e2      1  8
e3      1  13
e4      1  46
e5      1  56
e6      1  58
e7      1  67
e8      2  3
e9      2  11
e10     2  45
e11     2  51
e12     2  55
e13     2  58
e14     2  60
e15     3  4
e16     3  6
e17     3  18
e18     3  23
e19     3  25
e20     3  40
e21     3  43
e22     3  48
e23     3  60
e24     3  61
e25     3  62
e26     4  5
e27     4  13
e28     4  19
e29     4  20
e30     4  23
e31     4  27
e32     4  28
e33     4  35
e34     4  36
e35     4  37
e36     4  44
e37     4  48
e38     4  49
e39     4  57
e40     4  58
e41     5  6
e42     5  13
e43     5  16
e44     5  40
e45     5  45
e46     5  56
e47     5  58
e48     5  64
e49     6  7
e50     6  8
e51     6  9
e52     6  12
e53     6  20
e54     6  22
e55     6  42
e56     6  45
e57     6  52
e58     6  54
e59     6  59
e60     6  65
e61     7  8
e62     7  12
e63     7  13
e64     7  18
e65     7  24
e66     7  25
e67     7  30
e68     7  39
e69     7  43
e70     7  49
e71     8  9
e72     8  12
e73     8  20
e74     8  28
e75     8  39
e76     8  47
e77     8  49
e78     8  51
e79     8  56
e80     8  64
e81     8  65
e82     8  70
e83     9  10
e84     9  12
e85     9  20
e86     9  22
e87     9  24
e88     9  35
e89     9  59
e90     9  66
e91     10 11
e92     10 12
e93     10 31
e94     10 35
e95     10 38
e96     10 47
e97     10 64
e98     10 67
e99     10 68
e100    11 12
e101    11 15
e102    11 22
e103    11 34
e104    11 43
e105    11 45
e106    11 47
e107    11 55
e108    11 57
e109    11 58
e110    11 60
e111    11 67
e112    11 68
e113    11 70
e114    12 13
e115    12 14
e116    12 19
e117    12 27
e118    12 34
e119    12 36
e120    12 41
e121    12 47
e122    12 58
e123    12 63
e124    12 64
e125    13 14
e126    13 18
e127    13 29
e128    13 52
e129    13 58
e130    13 61
e131    13 62
e132    13 66
e133    14 15
e134    14 16
e135    14 17
e136    14 19
e137    14 20
e138    14 25
e139    14 30
e140    14 31
e141    14 39
e142    14 44
e143    14 50
e144    14 53
e145    14 60
e146    14 64
e147    15 16
e148    15 28
e149    15 32
e150    15 33
e151    15 50
e152    15 56
e153    15 65
e154    16 17
e155    16 22
e156    16 27
e157    16 32
e158    16 37
e159    16 39
e160    16 40
e161    16 43
e162    16 57
e163    16 59
e164    16 66
e165    17 18
e166    17 19
e167    17 35
e168    17 41
e169    17 44
e170    17 53
e171    17 57
e172    17 58
e173    17 62
e174    17 65
e175    17 67
e176    18 19
e177    18 24
e178    18 28
e179    18 35
e180    18 50
e181    18 61
e182    18 62
e183    18 67
e184    18 69
e185    19 20
e186    19 31
e187    19 33
e188    19 39
e189    19 40
e190    19 58
e191    19 67
e192    19 70
e193    20 21
e194    20 23
e195    20 24
e196    20 27
e197    20 38
e198    20 46
e199    20 47
e200    20 49
e201    20 50
e202    20 51
e203    20 63
e204    20 68
e205    21 22
e206    21 25
e207    21 37
e208    21 41
e209    21 42
e210    21 44
e211    21 45
e212    21 46
e213    21 49
e214    21 56
e215    21 66
e216    22 23
e217    22 24
e218    22 25
e219    22 34
e220    22 42
e221    22 43
e222    22 46
e223    22 58
e224    22 63
e225    23 24
e226    23 25
e227    23 28
e228    23 30
e229    23 39
e230    23 40
e231    23 41
e232    23 42
e233    23 47
e234    23 51
e235    23 54
e236    23 60
e237    24 25
e238    24 26
e239    24 34
e240    24 41
e241    24 44
e242    24 48
e243    24 49
e244    24 53
e245    24 57
e246    24 59
e247    24 65
e248    24 67
e249    25 26
e250    25 29
e251    25 30
e252    25 33
e253    25 40
e254    25 42
e255    25 47
e256    25 51
e257    25 60
e258    25 61
e259    26 27
e260    26 30
e261    26 34
e262    26 42
e263    26 43
e264    26 48
e265    26 49
e266    26 50
e267    26 61
e268    27 28
e269    27 38
e270    27 54
e271    27 55
e272    27 65
e273    27 67
e274    27 68
e275    28 29
e276    28 42
e277    28 43
e278    28 44
e279    28 50
e280    28 54
e281    28 57
e282    28 59
e283    28 69
e284    29 30
e285    29 34
e286    29 55
e287    29 64
e288    29 67
e289    29 69
e290    30 31
e291    30 35
e292    30 42
e293    30 50
e294    30 51
e295    30 52
e296    30 56
e297    30 60
e298    30 62
e299    30 63
e300    31 32
e301    31 33
e302    31 41
e303    31 47
e304    31 49
e305    31 51
e306    31 53
e307    31 55
e308    31 64
e309    32 33
e310    32 34
e311    32 42
e312    32 57
e313    32 65
e314    32 67
e315    33 34
e316    33 35
e317    33 43
e318    33 44
e319    33 59
e320    33 61
e321    34 35
e322    34 36
e323    34 39
e324    34 56
e325    34 58
e326    34 62
e327    34 67
e328    35 36
e329    35 37
e330    35 42
e331    35 44
e332    35 46
e333    35 66
e334    35 69
e335    36 37
e336    36 43
e337    36 45
e338    36 48
e339    36 50
e340    36 51
e341    36 57
e342    36 61
e343    36 64
e344    36 65
e345    37 38
e346    37 47
e347    37 48
e348    37 51
e349    37 59
e350    37 65
e351    38 39
e352    38 45
e353    38 49
e354    38 53
e355    38 54
e356    38 58
e357    38 59
e358    39 40
e359    39 41
e360    39 44
e361    39 45
e362    39 51
e363    39 57
e364    39 62
e365    39 66
e366    39 67
e367    40 41
e368    40 49
e369    40 52
e370    40 53
e371    40 54
e372    41 42
e373    41 43
e374    41 49
e375    41 63
e376    41 65
e377    41 68
e378    42 43
e379    42 45
e380    42 50
e381    42 60
e382    42 66
e383    42 69
e384    43 44
e385    43 51
e386    43 54
e387    43 56
e388    43 58
e389    43 62
e390    43 65
e391    43 69
e392    43 70
e393    44 45
e394    44 46
e395    44 47
e396    44 49
e397    44 51
e398    44 53
e399    44 56
e400    45 46
e401    45 48
e402    45 55
e403    45 59
e404    45 63
e405    45 65
e406    45 66
e407    46 47
e408    46 63
e409    46 65
e410    47 48
e411    47 50
e412    47 56
e413    47 63
e414    47 65
e415    47 66
e416    47 68
e417    48 49
e418    48 51
e419    48 59
e420    49 50
e421    49 51
e422    49 53
e423    49 57
e424    49 66
e425    50 51
e426    50 52
e427    50 53
e428    50 54
e429    50 57
e430    50 59
e431    50 61
e432    50 70
e433    51 52
e434    51 53
e435    51 57
e436    51 58
e437    51 69
e438    52 53
e439    52 54
e440    52 55
e441    52 56
e442    52 69
e443    53 54
e444    53 56
e445    53 57
e446    54 55
e447    54 63
e448    54 69
e449    55 56
e450    55 63
e451    56 57
e452    57 58
e453    57 61
e454    57 65
e455    57 66
e456    58 59
e457    58 62
e458    59 60
e459    59 70
e460    60 61
e461    60 62
e462    60 67
e463    60 68
e464    60 69
e465    60 70
e466    61 62
e467    62 63
e468    62 65
e469    62 67
e470    62 68
e471    62 70
e472    63 64
e473    63 66
e474    63 67
e475    63 68
e476    64 65
e477    65 66
e478    66 67
e479    66 69
e480    67 68
e481    67 69
e482    68 69
e483    69 70
