V: 30
E: 131
Edge_Id Vi Vj
e1      1  2
e2      1  3
e3      1  5
e4      1  7
e5      1  9
e6      1  19
e7      1  25
e8      1  28
e9      2  3
e10     2  11
e11     2  22
e12     2  23
e13     2  27
e14     3  4
e15     3  6
e16     3  9
e17     3  10
e18     3  15
e19     3  18
e20     3  19
e21     3  29
e22     4  5
e23     4  6
e24     4  7
e25     4  11
e26     4  12
e27     4  13
e28     4  14
e29     4  15
e30     4  17
e31     4  27
e32     4  29
e33     5  6
e34     5  10
e35     5  17
e36     5  21
e37     5  22
e38     5  25
e39     6  7
e40     6  12
e41     6  14
e42     6  25
e43     7  8
e44     7  12
e45     7  20
e46     7  26
e47     8  9
e48     8  10
e49     8  16
e50     8  18
e51     8  21
e52     8  22
e53     8  23
e54     8  26
e55     8  28
e56     9  10
e57     9  18
e58     9  20
e59     9  25
e60     9  26
e61     9  27
e62     10 11
e63     10 12
e64     10 14
e65     10 15
e66     10 16
e67     10 18
e68     10 21
e69     11 12
e70     11 13
e71     11 15
e72     11 17
e73     11 20
e74     11 24
e75     12 13
e76     12 14
e77     12 16
e78     12 19
e79     12 20
e80     12 22
e81     12 29
e82     13 14
e83     13 15
e84     13 25
e85     13 26
e86     13 29
e87     14 15
e88     14 19
e89     14 22
e90     14 23
e91     14 28
e92     15 16
e93     15 23
e94     15 25
e95     16 17
e96     16 24
e97     16 25
e98     17 18
e99     17 25
e100    17 26
e101    17 27
e102    18 19
e103    18 21
e104    18 22
e105    18 23
e106    18 25
e107    19 20
e108    19 23
e109    19 26
e110    20 21
e111    20 24
e112    20 25
e113    21 22
e114    21 24
e115    21 26
e116    21 30
e117    22 23
e118    22 27
e119    22 30
e120    23 24
e121    23 29
e122    24 25
e123    24 29
e124    25 26
e125    25 28
e126    26 27
e127    26 30
e128    27 28
e129    27 29
e130    28 29
e131    29 30
