V: 150
E: 3353
Edge_Id Vi  Vj
e1      1   2
e2      1   4
e3      1   8
e4      1   22
e5      1   29
e6      1   32
e7      1   38
e8      1   40
e9      1   47
e10     1   50
e11     1   51
e12     1   63
e13     1   73
e14     1   80
e15     1   96
e16     1   99
e17     1   125
e18     1   131
e19     1   140
e20     1   142
e21     1   146
e22     2   3
e23     2   6
e24     2   7
e25     2   8
e26     2   11
e27     2   12
e28     2   18
e29     2   22
e30     2   23
e31     2   25
e32     2   32
e33     2   37
e34     2   38
e35     2   42
e36     2   44
e37     2   52
e38     2   55
e39     2   57
e40     2   58
e41     2   62
e42     2   67
e43     2   69
e44     2   73
e45     2   75
e46     2   76
e47     2   78
e48     2   80
e49     2   82
e50     2   83
e51     2   93
e52     2   94
e53     2   100
e54     2   102
e55     2   105
e56     2   108
e57     2   109
e58     2   111
e59     2   115
e60     2   118
e61     2   121
e62     2   124
e63     2   125
e64     2   128
e65     2   131
e66     2   133
e67     2   134
e68     2   138
e69     2   142
e70     2   143
e71     2   146
e72     3   4
e73     3   5
e74     3   6
e75     3   13
e76     3   14
e77     3   15
e78     3   16
e79     3   27
e80     3   28
e81     3   30
e82     3   34
e83     3   37
e84     3   41
e85     3   44
e86     3   45
e87     3   47
e88     3   48
e89     3   53
e90     3   58
e91     3   63
e92     3   66
e93     3   68
e94     3   71
e95     3   75
e96     3   77
e97     3   85
e98     3   94
e99     3   97
e100    3   100
e101    3   101
e102    3   102
e103    3   103
e104    3   105
e105    3   109
e106    3   111
e107    3   114
e108    3   115
e109    3   116
e110    3   121
e111    3   125
e112    3   126
e113    3   129
e114    3   130
e115    3   134
e116    3   136
e117    3   140
e118    3   142
e119    3   143
e120    3   147
e121    4   5
e122    4   10
e123    4   11
e124    4   15
e125    4   17
e126    4   18
e127    4   21
e128    4   27
e129    4   34
e130    4   36
e131    4   39
e132    4   41
e133    4   42
e134    4   43
e135    4   44
e136    4   45
e137    4   46
e138    4   49
e139    4   50
e140    4   51
e141    4   61
e142    4   62
e143    4   67
e144    4   74
e145    4   75
e146    4   77
e147    4   82
e148    4   91
e149    4   92
e150    4   96
e151    4   99
e152    4   105
e153    4   111
e154    4   118
e155    4   119
e156    4   126
e157    4   127
e158    4   129
e159    4   133
e160    4   136
e161    4   138
e162    4   139
e163    4   141
e164    4   144
e165    5   6
e166    5   7
e167    5   19
e168    5   20
e169    5   21
e170    5   23
e171    5   29
e172    5   31
e173    5   33
e174    5   34
e175    5   35
e176    5   36
e177    5   48
e178    5   51
e179    5   52
e180    5   54
e181    5   55
e182    5   66
e183    5   68
e184    5   69
e185    5   79
e186    5   82
e187    5   85
e188    5   89
e189    5   90
e190    5   91
e191    5   99
e192    5   104
e193    5   105
e194    5   107
e195    5   109
e196    5   115
e197    5   117
e198    5   121
e199    5   123
e200    5   125
e201    5   127
e202    5   130
e203    5   133
e204    5   134
e205    5   139
e206    5   142
e207    5   146
e208    5   147
e209    5   148
e210    6   7
e211    6   8
e212    6   11
e213    6   12
e214    6   23
e215    6   30
e216    6   31
e217    6   34
e218    6   35
e219    6   39
e220    6   41
e221    6   48
e222    6   49
e223    6   50
e224    6   55
e225    6   56
e226    6   60
e227    6   63
e228    6   64
e229    6   66
e230    6   67
e231    6   68
e232    6   71
e233    6   80
e234    6   83
e235    6   86
e236    6   91
e237    6   93
e238    6   95
e239    6   97
e240    6   98
e241    6   101
e242    6   107
e243    6   112
e244    6   114
e245    6   115
e246    6   116
e247    6   117
e248    6   119
e249    6   120
e250    6   132
e251    6   140
e252    7   8
e253    7   11
e254    7   16
e255    7   30
e256    7   34
e257    7   38
e258    7   40
e259    7   42
e260    7   45
e261    7   46
e262    7   47
e263    7   52
e264    7   56
e265    7   57
e266    7   58
e267    7   59
e268    7   61
e269    7   63
e270    7   66
e271    7   69
e272    7   74
e273    7   79
e274    7   82
e275    7   83
e276    7   86
e277    7   87
e278    7   92
e279    7   95
e280    7   109
e281    7   111
e282    7   116
e283    7   119
e284    7   124
e285    7   125
e286    7   137
e287    7   141
e288    7   149
e289    8   9
e290    8   10
e291    8   15
e292    8   24
e293    8   26
e294    8   30
e295    8   31
e296    8   32
e297    8   33
e298    8   34
e299    8   35
e300    8   37
e301    8   40
e302    8   47
e303    8   50
e304    8   51
e305    8   54
e306    8   56
e307    8   58
e308    8   59
e309    8   60
e310    8   63
e311    8   64
e312    8   67
e313    8   68
e314    8   72
e315    8   76
e316    8   79
e317    8   93
e318    8   95
e319    8   96
e320    8   98
e321    8   99
e322    8   105
e323    8   111
e324    8   112
e325    8   113
e326    8   116
e327    8   117
e328    8   120
e329    8   124
e330    8   127
e331    8   129
e332    8   130
e333    8   132
e334    8   133
e335    8   142
e336    8   144
e337    8   148
e338    8   150
e339    9   10
e340    9   11
e341    9   12
e342    9   13
e343    9   17
e344    9   21
e345    9   27
e346    9   29
e347    9   30
e348    9   38
e349    9   41
e350    9   51
e351    9   53
e352    9   54
e353    9   56
e354    9   59
e355    9   60
e356    9   65
e357    9   66
e358    9   68
e359    9   71
e360    9   74
e361    9   75
e362    9   85
e363    9   87
e364    9   91
e365    9   99
e366    9   105
e367    9   116
e368    9   122
e369    9   123
e370    9   125
e371    9   126
e372    9   128
e373    9   129
e374    9   134
e375    9   138
e376    9   141
e377    9   142
e378    9   150
e379    10  11
e380    10  15
e381    10  16
e382    10  19
e383    10  20
e384    10  25
e385    10  33
e386    10  39
e387    10  43
e388    10  44
e389    10  48
e390    10  56
e391    10  59
e392    10  61
e393    10  66
e394    10  70
e395    10  72
e396    10  75
e397    10  80
e398    10  83
e399    10  84
e400    10  92
e401    10  93
e402    10  94
e403    10  108
e404    10  111
e405    10  113
e406    10  115
e407    10  120
e408    10  121
e409    10  126
e410    10  128
e411    10  131
e412    10  134
e413    10  135
e414    10  138
e415    10  139
e416    10  140
e417    10  142
e418    11  12
e419    11  17
e420    11  19
e421    11  20
e422    11  21
e423    11  23
e424    11  25
e425    11  29
e426    11  30
e427    11  33
e428    11  34
e429    11  37
e430    11  39
e431    11  40
e432    11  44
e433    11  50
e434    11  53
e435    11  59
e436    11  63
e437    11  66
e438    11  69
e439    11  72
e440    11  83
e441    11  86
e442    11  95
e443    11  97
e444    11  100
e445    11  101
e446    11  103
e447    11  105
e448    11  107
e449    11  113
e450    11  115
e451    11  116
e452    11  125
e453    11  135
e454    11  136
e455    11  138
e456    11  140
e457    11  141
e458    11  146
e459    11  150
e460    12  13
e461    12  14
e462    12  15
e463    12  17
e464    12  20
e465    12  21
e466    12  24
e467    12  25
e468    12  50
e469    12  52
e470    12  58
e471    12  59
e472    12  66
e473    12  67
e474    12  68
e475    12  69
e476    12  74
e477    12  78
e478    12  81
e479    12  82
e480    12  87
e481    12  94
e482    12  98
e483    12  100
e484    12  105
e485    12  106
e486    12  107
e487    12  110
e488    12  111
e489    12  112
e490    12  113
e491    12  114
e492    12  117
e493    12  118
e494    12  120
e495    12  124
e496    12  127
e497    12  128
e498    12  129
e499    12  135
e500    12  140
e501    12  141
e502    12  144
e503    13  14
e504    13  18
e505    13  20
e506    13  21
e507    13  22
e508    13  24
e509    13  26
e510    13  36
e511    13  37
e512    13  38
e513    13  39
e514    13  50
e515    13  53
e516    13  54
e517    13  57
e518    13  59
e519    13  61
e520    13  68
e521    13  69
e522    13  70
e523    13  74
e524    13  75
e525    13  76
e526    13  79
e527    13  84
e528    13  89
e529    13  90
e530    13  96
e531    13  98
e532    13  99
e533    13  100
e534    13  101
e535    13  102
e536    13  107
e537    13  109
e538    13  113
e539    13  115
e540    13  118
e541    13  122
e542    13  124
e543    13  126
e544    13  127
e545    13  130
e546    13  132
e547    13  136
e548    13  142
e549    13  144
e550    13  148
e551    13  149
e552    14  15
e553    14  18
e554    14  21
e555    14  35
e556    14  36
e557    14  37
e558    14  39
e559    14  41
e560    14  43
e561    14  46
e562    14  49
e563    14  53
e564    14  54
e565    14  59
e566    14  60
e567    14  61
e568    14  67
e569    14  69
e570    14  74
e571    14  78
e572    14  84
e573    14  85
e574    14  88
e575    14  89
e576    14  90
