V: 70
E: 242
Edge_Id Vi Vj
e1      1  2
e2      1  42
e3      2  3
e4      2  7
e5      2  28
e6      2  55
e7      2  63
e8      3  4
e9      3  19
e10     3  30
e11     3  37
e12     4  5
e13     4  53
e14     5  6
e15     5  29
e16     5  45
e17     5  53
e18     5  58
e19     5  69
e20     6  7
e21     6  12
e22     6  22
e23     6  49
e24     6  68
e25     7  8
e26     7  26
e27     7  31
e28     7  65
e29     8  9
e30     8  25
e31     8  52
e32     9  10
e33     9  25
e34     9  31
e35     9  51
e36     9  55
e37     10 11
e38     10 19
e39     10 23
e40     10 25
e41     10 27
e42     10 57
e43     10 69
e44     10 70
e45     11 12
e46     11 58
e47     11 61
e48     11 63
e49     12 13
e50     12 21
e51     12 33
e52     12 41
e53     12 45
e54     12 52
e55     12 62
e56     13 14
e57     13 15
e58     13 22
e59     13 23
e60     13 24
e61     13 43
e62     13 48
e63     13 54
e64     14 15
e65     14 18
e66     14 33
e67     14 37
e68     14 40
e69     14 44
e70     14 50
e71     15 16
e72     15 53
e73     16 17
e74     16 40
e75     16 53
e76     16 54
e77     16 56
e78     16 69
e79     17 18
e80     17 54
e81     17 61
e82     17 69
e83     18 19
e84     18 22
e85     18 39
e86     18 67
e87     19 20
e88     19 24
e89     19 30
e90     19 31
e91     19 33
e92     19 50
e93     19 57
e94     19 58
e95     19 67
e96     20 21
e97     20 24
e98     20 43
e99     20 46
e100    20 63
e101    20 68
e102    20 69
e103    21 22
e104    21 26
e105    21 58
e106    21 70
e107    22 23
e108    22 24
e109    22 39
e110    22 40
e111    23 24
e112    23 60
e113    24 25
e114    24 41
e115    24 43
e116    24 49
e117    24 68
e118    25 26
e119    25 33
e120    25 35
e121    26 27
e122    26 42
e123    26 44
e124    26 47
e125    26 49
e126    26 52
e127    26 57
e128    26 67
e129    26 68
e130    26 69
e131    27 28
e132    27 41
e133    27 45
e134    27 56
e135    27 63
e136    28 29
e137    28 32
e138    28 34
e139    28 65
e140    29 30
e141    29 31
e142    29 37
e143    29 45
e144    29 46
e145    30 31
e146    30 51
e147    31 32
e148    31 35
e149    31 44
e150    31 48
e151    31 49
e152    31 55
e153    31 62
e154    31 63
e155    31 67
e156    32 33
e157    32 44
e158    32 68
e159    33 34
e160    33 53
e161    34 35
e162    34 40
e163    34 41
e164    34 60
e165    35 36
e166    35 57
e167    35 69
e168    36 37
e169    36 40
e170    36 49
e171    37 38
e172    37 44
e173    37 70
e174    38 39
e175    38 40
e176    38 59
e177    39 40
e178    39 52
e179    39 61
e180    40 41
e181    40 50
e182    40 54
e183    40 59
e184    40 63
e185    40 68
e186    41 42
e187    41 55
e188    41 60
e189    42 43
e190    42 54
e191    43 44
e192    43 50
e193    43 58
e194    43 66
e195    44 45
e196    44 49
e197    44 56
e198    45 46
e199    45 53
e200    45 56
e201    45 67
e202    46 47
e203    47 48
e204    47 56
e205    47 59
e206    47 67
e207    47 70
e208    48 49
e209    48 68
e210    49 50
e211    49 58
e212    49 63
e213    50 51
e214    50 58
e215    50 65
e216    51 52
e217    51 68
e218    52 53
e219    52 58
e220    53 54
e221    54 55
e222    54 68
e223    55 56
e224    55 61
e225    56 57
e226    57 58
e227    58 59
e228    58 64
e229    59 60
e230    59 66
e231    60 61
e232    61 62
e233    62 63
e234    62 65
e235    63 64
e236    64 65
e237    64 68
e238    65 66
e239    66 67
e240    67 68
e241    68 69
e242    69 70
