V: 50
E: 123
Edge_Id Vi Vj
e1      1  2
e2      1  10
e3      1  14
e4      1  34
e5      1  43
e6      2  3
e7      2  12
e8      3  4
e9      3  14
e10     3  30
e11     3  35
e12     3  42
e13     3  43
e14     4  5
e15     4  7
e16     4  9
e17     4  32
e18     4  46
e19     5  6
e20     5  38
e21     6  7
e22     6  11
e23     6  17
e24     6  30
e25     7  8
e26     7  25
e27     7  27
e28     7  35
e29     7  38
e30     8  9
e31     8  22
e32     8  40
e33     9  10
e34     9  11
e35     9  17
e36     9  18
e37     9  42
e38     9  47
e39     9  49
e40     10 11
e41     10 17
e42     10 32
e43     10 37
e44     11 12
e45     12 13
e46     12 21
e47     12 23
e48     12 28
e49     12 45
e50     13 14
e51     13 43
e52     14 15
e53     14 36
e54     15 16
e55     15 27
e56     16 17
e57     16 48
e58     17 18
e59     17 37
e60     17 46
e61     17 47
e62     17 49
e63     18 19
e64     18 49
e65     19 20
e66     19 21
e67     19 24
e68     19 46
e69     20 21
e70     21 22
e71     21 42
e72     22 23
e73     22 28
e74     22 40
e75     22 50
e76     23 24
e77     23 28
e78     24 25
e79     24 34
e80     24 46
e81     25 26
e82     25 34
e83     26 27
e84     26 36
e85     26 41
e86     27 28
e87     27 37
e88     27 43
e89     27 44
e90     28 29
e91     29 30
e92     30 31
e93     30 38
e94     31 32
e95     31 44
e96     32 33
e97     32 45
e98     32 48
e99     33 34
e100    33 39
e101    33 46
e102    34 35
e103    34 45
e104    35 36
e105    36 37
e106    36 45
e107    37 38
e108    37 46
e109    37 48
e110    38 39
e111    39 40
e112    40 41
e113    40 45
e114    41 42
e115    41 43
e116    42 43
e117    43 44
e118    44 45
e119    45 46
e120    46 47
e121    47 48
e122    48 49
e123    49 50
