V: 50
E: 61
Edge_Id Vi Vj
e1      1  2
e2      2  3
e3      3  4
e4      4  5
e5      5  6
e6      6  7
e7      6  47
e8      7  8
e9      8  9
e10     9  10
e11     9  11
e12     10 11
e13     10 21
e14     11 12
e15     12 13
e16     12 19
e17     12 43
e18     13 14
e19     14 15
e20     14 30
e21     15 16
e22     16 17
e23     17 18
e24     18 19
e25     18 27
e26     19 20
e27     20 21
e28     20 31
e29     20 32
e30     21 22
e31     22 23
e32     23 24
e33     24 25
e34     25 26
e35     25 47
e36     26 27
e37     26 34
e38     27 28
e39     28 29
e40     29 30
e41     30 31
e42     31 32
e43     32 33
e44     33 34
e45     34 35
e46     35 36
e47     36 37
e48     37 38
e49     38 39
e50     39 40
e51     40 41
e52     41 42
e53     42 43
e54     43 44
e55     44 45
e56     44 49
e57     45 46
e58     46 47
e59     47 48
e60     48 49
e61     49 50
