V: 30
E: 218
Edge_Id Vi Vj
e1      1  2
e2      1  3
e3      1  6
e4      1  8
e5      1  11
e6      1  15
e7      1  19
e8      1  21
e9      1  24
e10     1  25
e11     1  27
e12     2  3
e13     2  6
e14     2  7
e15     2  8
e16     2  9
e17     2  10
e18     2  13
e19     2  14
e20     2  15
e21     2  16
e22     2  17
e23     2  22
e24     2  23
e25     2  24
e26     2  26
e27     3  4
e28     3  5
e29     3  6
e30     3  7
e31     3  9
e32     3  10
e33     3  12
e34     3  15
e35     3  18
e36     3  19
e37     3  24
e38     3  27
e39     3  28
e40     4  5
e41     4  6
e42     4  7
e43     4  8
e44     4  9
e45     4  11
e46     4  13
e47     4  14
e48     4  16
e49     4  17
e50     4  20
e51     4  21
e52     4  25
e53     4  26
e54     4  29
e55     5  6
e56     5  7
e57     5  17
e58     5  18
e59     5  21
e60     5  25
e61     5  28
e62     5  29
e63     5  30
e64     6  7
e65     6  8
e66     6  11
e67     6  12
e68     6  13
e69     6  14
e70     6  17
e71     6  19
e72     6  22
e73     6  23
e74     6  24
e75     6  25
e76     6  26
e77     6  27
e78     6  29
e79     7  8
e80     7  11
e81     7  15
e82     7  17
e83     7  21
e84     7  22
e85     7  24
e86     7  27
e87     7  30
e88     8  9
e89     8  12
e90     8  14
e91     8  17
e92     8  19
e93     8  21
e94     8  22
e95     8  23
e96     8  28
e97     8  29
e98     8  30
e99     9  10
e100    9  12
e101    9  14
e102    9  16
e103    9  18
e104    9  24
e105    9  26
e106    9  28
e107    9  29
e108    10 11
e109    10 12
e110    10 13
e111    10 14
e112    10 18
e113    10 19
e114    10 20
e115    10 21
e116    10 22
e117    10 23
e118    10 24
e119    10 26
e120    10 27
e121    10 28
e122    10 29
e123    11 12
e124    11 13
e125    11 15
e126    11 16
e127    11 22
e128    11 23
e129    11 25
e130    11 26
e131    11 27
e132    11 29
e133    12 13
e134    12 17
e135    12 18
e136    12 19
e137    12 20
e138    12 21
e139    12 22
e140    12 23
e141    12 25
e142    12 27
e143    13 14
e144    13 15
e145    13 18
e146    13 21
e147    13 22
e148    13 25
e149    13 26
e150    13 28
e151    14 15
e152    14 16
e153    14 20
e154    14 21
e155    14 24
e156    14 25
e157    14 30
e158    15 16
e159    15 17
e160    15 18
e161    15 19
e162    15 21
e163    15 23
e164    15 24
e165    15 25
e166    15 26
e167    15 30
e168    16 17
e169    16 18
e170    16 23
e171    16 24
e172    16 30
e173    17 18
e174    17 19
e175    17 20
e176    17 23
e177    17 24
e178    17 26
e179    17 29
e180    18 19
e181    18 26
e182    18 27
e183    18 29
e184    19 20
e185    19 24
e186    19 26
e187    19 27
e188    20 21
e189    20 23
e190    20 24
e191    20 25
e192    20 26
e193    20 27
e194    20 29
e195    21 22
e196    21 23
e197    21 25
e198    21 26
e199    21 27
e200    21 28
e201    21 29
e202    22 23
e203    22 24
e204    22 26
e205    23 24
e206    23 28
e207    23 29
e208    23 30
e209    24 25
e210    25 26
e211    25 28
e212    25 30
e213    26 27
e214    27 28
e215    27 29
e216    28 29
e217    28 30
e218    29 30
