V: 70
E: 121
Edge_Id Vi Vj
e1      1  2
e2      1  18
e3      2  3
e4      3  4
e5      3  56
e6      4  5
e7      5  6
e8      5  9
e9      5  36
e10     6  7
e11     6  24
e12     6  52
e13     7  8
e14     7  18
e15     7  21
e16     8  9
e17     8  13
e18     8  38
e19     8  63
e20     9  10
e21     9  45
e22     10 11
e23     10 17
e24     10 42
e25     11 12
e26     12 13
e27     12 59
e28     13 14
e29     14 15
e30     14 16
e31     15 16
e32     16 17
e33     16 40
e34     17 18
e35     18 19
e36     18 45
e37     18 70
e38     19 20
e39     19 45
e40     19 61
e41     20 21
e42     20 34
e43     20 62
e44     21 22
e45     22 23
e46     23 24
e47     23 27
e48     23 42
e49     23 55
e50     24 25
e51     25 26
e52     25 39
e53     26 27
e54     26 68
e55     27 28
e56     27 35
e57     27 54
e58     28 29
e59     28 61
e60     29 30
e61     29 41
e62     29 69
e63     30 31
e64     30 35
e65     31 32
e66     31 33
e67     32 33
e68     32 52
e69     32 60
e70     33 34
e71     34 35
e72     34 40
e73     34 53
e74     34 60
e75     35 36
e76     35 43
e77     36 37
e78     37 38
e79     38 39
e80     38 43
e81     39 40
e82     40 41
e83     41 42
e84     42 43
e85     43 44
e86     43 53
e87     43 55
e88     44 45
e89     44 56
e90     45 46
e91     46 47
e92     47 48
e93     48 49
e94     48 51
e95     48 62
e96     49 50
e97     49 52
e98     50 51
e99     50 69
e100    51 52
e101    52 53
e102    52 68
e103    53 54
e104    53 61
e105    53 68
e106    54 55
e107    55 56
e108    56 57
e109    57 58
e110    58 59
e111    59 60
e112    60 61
e113    61 62
e114    62 63
e115    63 64
e116    64 65
e117    65 66
e118    66 67
e119    67 68
e120    68 69
e121    69 70
