V: 50
E: 368
Edge_Id Vi Vj
e1      1  2
e2      1  5
e3      1  6
e4      1  7
e5      1  17
e6      1  25
e7      1  37
e8      1  39
e9      1  48
e10     2  3
e11     2  6
e12     2  8
e13     2  18
e14     2  23
e15     2  25
e16     2  27
e17     2  38
e18     2  39
e19     2  44
e20     2  47
e21     2  50
e22     3  4
e23     3  13
e24     3  14
e25     3  18
e26     3  21
e27     3  24
e28     3  26
e29     3  27
e30     3  32
e31     3  33
e32     3  37
e33     3  39
e34     3  41
e35     3  43
e36     3  47
e37     3  48
e38     3  49
e39     3  50
e40     4  5
e41     4  13
e42     4  15
e43     4  30
e44     4  33
e45     4  35
e46     4  40
e47     4  43
e48     4  45
e49     4  50
e50     5  6
e51     5  14
e52     5  17
e53     5  18
e54     5  19
e55     5  20
e56     5  24
e57     5  26
e58     5  27
e59     5  30
e60     5  31
e61     5  34
e62     5  46
e63     5  50
e64     6  7
e65     6  8
e66     6  13
e67     6  14
e68     6  16
e69     6  22
e70     6  23
e71     6  27
e72     6  29
e73     6  33
e74     6  34
e75     6  37
e76     6  42
e77     6  43
e78     6  45
e79     6  49
e80     7  8
e81     7  11
e82     7  16
e83     7  20
e84     7  22
e85     7  23
e86     7  27
e87     7  28
e88     7  33
e89     7  42
e90     7  43
e91     7  46
e92     7  47
e93     7  48
e94     8  9
e95     8  13
e96     8  18
e97     8  24
e98     8  27
e99     8  28
e100    8  42
e101    8  43
e102    8  45
e103    9  10
e104    9  12
e105    9  20
e106    9  21
e107    9  22
e108    9  25
e109    9  27
e110    9  31
e111    9  36
e112    9  42
e113    9  46
e114    9  50
e115    10 11
e116    10 13
e117    10 15
e118    10 20
e119    10 21
e120    10 23
e121    10 27
e122    10 29
e123    10 30
e124    10 34
e125    10 37
e126    10 41
e127    10 42
e128    10 46
e129    10 48
e130    11 12
e131    11 14
e132    11 21
e133    11 23
e134    11 28
e135    11 30
e136    11 34
e137    11 37
e138    11 40
e139    11 42
e140    12 13
e141    12 14
e142    12 17
e143    12 20
e144    12 22
e145    12 28
e146    12 29
e147    12 30
e148    12 31
e149    12 33
e150    12 34
e151    12 37
e152    12 42
e153    12 43
e154    12 48
e155    13 14
e156    13 17
e157    13 23
e158    13 25
e159    13 26
e160    13 31
e161    13 32
e162    13 40
e163    14 15
e164    14 22
e165    14 25
e166    14 27
e167    14 28
e168    14 30
e169    14 31
e170    14 35
e171    14 39
e172    14 44
e173    14 47
e174    15 16
e175    15 20
e176    15 28
e177    15 29
e178    15 30
e179    15 32
e180    15 37
e181    15 41
e182    15 44
e183    15 45
e184    15 48
e185    15 49
e186    16 17
e187    16 21
e188    16 23
e189    16 25
e190    16 26
e191    16 29
e192    16 34
e193    16 35
e194    16 38
e195    16 43
e196    16 49
e197    17 18
e198    17 21
e199    17 26
e200    17 32
e201    17 34
e202    17 36
e203    17 40
e204    17 47
e205    17 48
e206    18 19
e207    18 20
e208    18 23
e209    18 31
e210    18 33
e211    18 39
e212    18 40
e213    18 41
e214    18 49
e215    19 20
e216    19 23
e217    19 27
e218    19 30
e219    19 31
e220    19 32
e221    19 36
e222    19 41
e223    19 42
e224    19 48
e225    20 21
e226    20 22
e227    20 23
e228    20 29
e229    20 32
e230    20 35
e231    20 38
e232    20 42
e233    20 43
e234    20 46
e235    20 48
e236    21 22
e237    21 24
e238    21 25
e239    21 26
e240    21 27
e241    21 31
e242    21 37
e243    21 39
e244    21 41
e245    21 48
e246    21 49
e247    22 23
e248    22 25
e249    22 28
e250    22 33
e251    22 38
e252    22 44
e253    22 46
e254    22 49
e255    23 24
e256    23 25
e257    23 27
e258    23 29
e259    23 30
e260    23 34
e261    23 36
e262    23 38
e263    23 39
e264    23 45
e265    23 47
e266    23 48
e267    24 25
e268    24 28
e269    24 29
e270    24 30
e271    24 32
e272    24 35
e273    24 36
e274    24 49
e275    25 26
e276    25 33
e277    25 36
e278    25 40
e279    25 42
e280    25 43
e281    25 49
e282    25 50
e283    26 27
e284    26 28
e285    26 38
e286    26 40
e287    26 41
e288    26 42
e289    26 43
e290    27 28
e291    27 31
e292    27 37
e293    27 47
e294    28 29
e295    28 39
e296    28 43
e297    28 45
e298    29 30
e299    29 32
e300    29 39
e301    29 40
e302    29 45
e303    29 50
e304    30 31
e305    30 33
e306    30 36
e307    30 45
e308    31 32
e309    31 35
e310    31 37
e311    31 43
e312    31 44
e313    32 33
e314    32 42
e315    32 46
e316    33 34
e317    33 39
e318    33 41
e319    33 43
e320    33 49
e321    34 35
e322    34 36
e323    34 39
e324    34 41
e325    34 42
e326    34 43
e327    34 44
e328    34 46
e329    35 36
e330    35 38
e331    35 45
e332    35 48
e333    35 49
e334    36 37
e335    36 40
e336    37 38
e337    37 47
e338    37 49
e339    38 39
e340    38 42
e341    38 48
e342    38 49
e343    38 50
e344    39 40
e345    39 48
e346    39 50
e347    40 41
e348    40 42
e349    40 44
e350    41 42
e351    41 43
e352    41 48
e353    42 43
e354    43 44
e355    43 46
e356    43 47
e357    43 49
e358    44 45
e359    44 47
e360    44 49
e361    45 46
e362    45 47
e363    46 47
e364    46 50
e365    47 48
e366    48 49
e367    48 50
e368    49 50
