V: 300
E: 31395
Edge_Id Vi  Vj
e1      43  211
e2      43  103
e3      32  103
e4      32  222
e5      64  222
e6      64  279
e7      181 279
e8      173 181
e9      38  173
e10     38  178
e11     176 178
e12     35  176
e13     22  35
e14     22  201
e15     185 201
e16     44  185
e17     19  44
e18     19  53
e19     53  182
e20     136 182
e21     128 136
e22     128 300
e23     68  300
e24     68  119
e25     119 123
e26     48  123
e27     48  129
e28     129 218
e29     81  218
e30     50  81
e31     50  114
e32     114 197
e33     197 213
e34     87  213
e35     66  87
e36     66  177
e37     24  177
e38     24  275
e39     59  275
e40     59  124
e41     124 233
e42     233 297
e43     263 297
e44     28  263
e45     28  214
e46     158 214
e47     76  158
e48     34  76
e49     34  293
e50     248 293
e51     188 248
e52     83  188
e53     83  131
e54     131 296
e55     63  296
e56     63  109
e57     109 191
e58     191 257
e59     257 299
e60     130 299
e61     130 195
e62     105 195
e63     105 155
e64     155 162
e65     162 254
e66     253 254
e67     253 266
e68     229 266
e69     225 229
e70     166 225
e71     25  166
e72     25  235
e73     220 235
e74     189 220
e75     115 189
e76     115 135
e77     46  135
e78     46  65
e79     65  219
e80     194 219
e81     111 194
e82     111 278
e83     164 278
e84     164 227
e85     139 227
e86     139 267
e87     267 292
e88     291 292
e89     39  291
e90     37  39
e91     37  276
e92     72  276
e93     72  168
e94     150 168
e95     78  150
e96     42  78
e97     42  80
e98     80  97
e99     74  97
e100    29  74
e101    29  269
e102    187 269
e103    187 210
e104    79  210
e105    79  243
e106    15  243
e107    4   15
e108    4   122
e109    10  122
e110    10  117
e111    20  117
e112    20  160
e113    26  160
e114    26  264
e115    112 264
e116    110 112
e117    110 286
e118    271 286
e119    204 271
e120    204 208
e121    208 242
e122    237 242
e123    234 237
e124    234 277
e125    5   277
e126    5   113
e127    113 268
e128    172 268
e129    172 298
e130    180 298
e131    180 184
e132    127 184
e133    127 199
e134    86  199
e135    21  86
e136    21  241
e137    241 270
e138    3   270
e139    3   203
e140    145 203
e141    145 179
e142    179 295
e143    6   295
e144    6   51
e145    51  231
e146    198 231
e147    192 198
e148    192 259
e149    61  259
e150    61  238
e151    224 238
e152    224 283
e153    94  283
e154    94  206
e155    8   206
e156    8   216
e157    216 288
e158    154 288
e159    91  154
e160    91  96
e161    96  146
e162    146 239
e163    239 240
e164    49  240
e165    49  274
e166    245 274
e167    60  245
e168    60  69
e169    69  100
e170    23  100
e171    23  85
e172    85  101
e173    101 289
e174    106 289
e175    106 193
e176    141 193
e177    141 196
e178    90  196
e179    90  165
e180    165 262
e181    161 262
e182    18  161
e183    18  82
e184    82  121
e185    33  121
e186    33  126
e187    89  126
e188    52  89
e189    52  163
e190    2   163
e191    2   171
e192    40  171
e193    40  99
e194    99  142
e195    142 144
e196    144 236
e197    13  236
e198    13  202
e199    31  202
e200    31  58
e201    58  258
e202    258 282
e203    256 282
e204    148 256
e205    148 226
e206    151 226
e207    151 290
e208    133 290
e209    56  133
e210    56  159
e211    147 159
e212    1   147
e213    1   93
e214    55  93
e215    55  84
e216    84  137
e217    137 230
e218    12  230
e219    12  108
e220    108 280
e221    244 280
e222    244 250
e223    116 250
e224    116 118
e225    70  118
e226    70  294
e227    190 294
e228    11  190
e229    9   11
e230    9   284
e231    284 287
e232    57  287
e233    30  57
e234    30  232
e235    54  232
e236    54  272
e237    223 272
e238    98  223
e239    98  120
e240    120 170
e241    45  170
e242    45  247
e243    36  247
e244    36  140
e245    88  140
e246    88  207
e247    175 207
e248    134 175
e249    62  134
e250    62  260
e251    252 260
e252    17  252
e253    17  156
