V: 400
E: 3990
Edge_Id Vi  Vj
e1      169 201
e2      99  201
e3      99  350
e4      25  350
e5      25  171
e6      52  171
e7      52  374
e8      315 374
e9      315 321
e10     44  321
e11     44  306
e12     297 306
e13     257 297
e14     136 257
e15     136 251
e16     227 251
e17     208 227
e18     8   208
e19     8   373
e20     373 395
e21     256 395
e22     256 266
e23     133 266
e24     133 349
e25     324 349
e26     294 324
e27     126 294
e28     85  126
e29     70  85
e30     70  132
e31     27  132
e32     27  293
e33     80  293
e34     80  378
e35     77  378
e36     77  309
e37     194 309
e38     194 357
e39     12  357
e40     12  78
e41     78  125
e42     125 156
e43     156 354
e44     215 354
e45     20  215
e46     20  286
e47     145 286
e48     145 259
e49     259 262
e50     219 262
e51     55  219
e52     55  322
e53     103 322
e54     98  103
e55     98  111
e56     111 367
e57     149 367
e58     13  149
e59     13  29
e60     29  166
e61     166 196
e62     147 196
e63     61  147
e64     61  296
e65     93  296
e66     93  304
e67     223 304
e68     57  223
e69     57  275
e70     195 275
e71     195 247
e72     83  247
e73     74  83
e74     42  74
e75     42  318
e76     193 318
e77     178 193
e78     178 333
e79     182 333
e80     182 207
e81     41  207
e82     41  330
e83     252 330
e84     173 252
e85     48  173
e86     48  112
e87     30  112
e88     30  338
e89     119 338
e90     119 233
e91     233 366
e92     217 366
e93     127 217
e94     127 143
e95     35  143
e96     31  35
e97     31  218
e98     47  218
e99     47  188
e100    142 188
e101    142 226
e102    226 235
e103    235 283
e104    283 320
e105    14  320
e106    14  152
e107    152 278
e108    153 278
e109    95  153
e110    95  282
e111    282 348
e112    312 348
e113    50  312
e114    50  106
e115    106 216
e116    32  216
e117    32  230
e118    116 230
e119    116 391
e120    212 391
e121    212 323
e122    135 323
e123    135 292
e124    292 308
e125    244 308
e126    174 244
e127    73  174
e128    73  160
e129    160 340
e130    299 340
e131    129 299
e132    129 176
e133    88  176
e134    88  220
e135    165 220
e136    165 394
e137    186 394
e138    131 186
e139    131 159
e140    159 353
e141    265 353
e142    67  265
e143    67  254
e144    238 254
e145    190 238
e146    151 190
e147    151 326
e148    184 326
e149    9   184
e150    9   91
e151    91  181
e152    181 206
e153    206 397
e154    253 397
e155    161 253
e156    123 161
e157    123 205
e158    205 269
e159    269 381
e160    329 381
e161    60  329
e162    60  246
e163    214 246
e164    214 360
e165    360 377
e166    298 377
e167    236 298
e168    76  236
e169    38  76
e170    38  105
e171    105 398
e172    134 398
e173    134 239
e174    100 239
e175    100 358
e176    10  358
e177    10  267
e178    267 271
e179    1   271
e180    1   232
e181    180 232
e182    164 180
e183    164 272
e184    272 337
e185    229 337
e186    3   229
e187    3   40
e188    40  392
e189    240 392
e190    148 240
e191    148 177
e192    163 177
e193    163 380
e194    167 380
e195    167 279
e196    211 279
e197    211 311
e198    72  311
e199    72  200
e200    200 389
e201    213 389
e202    213 362
e203    122 362
e204    122 313
e205    162 313
e206    162 172
e207    172 243
e208    192 243
e209    71  192
e210    71  241
e211    45  241
e212    45  79
e213    79  221
e214    221 258
e215    43  258
e216    43  107
e217    81  107
e218    81  327
e219    69  327
e220    69  263
e221    97  263
e222    97  225
e223    49  225
e224    49  120
e225    102 120
e226    102 382
e227    303 382
e228    15  303
e229    15  305
e230    305 399
e231    396 399
e232    234 396
e233    234 284
e234    284 310
e235    114 310
e236    58  114
e237    58  68
e238    68  191
e239    124 191
e240    124 150
e241    150 203
e242    37  203
e243    37  288
e244    189 288
e245    189 351
e246    316 351
e247    287 316
e248    65  287
e249    65  328
e250    328 332
e251    268 332
e252    268 289
e253    202 289
e254    202 371
e255    290 371
e256    255 290
e257    255 281
e258    249 281
e259    249 388
e260    39  388
e261    39  370
e262    300 370
e263    110 300
e264    110 384
e265    6   384
e266    6   87
e267    28  87
e268    28  64
e269    64  347
e270    345 347
e271    273 345
e272    24  273
e273    24  386
e274    325 386
e275    325 364
e276    63  364
e277    54  63
e278    54  248
e279    248 302
e280    302 336
e281    175 336
e282    175 260
e283    51  260
e284    51  222
e285    222 369
e286    334 369
e287    185 334
e288    185 285
e289    285 400
e290    199 400
e291    11  199
e292    11  356
e293    108 356
e294    108 376
e295    168 376
e296    168 344
e297    82  344
e298    26  82
e299    26  331
e300    144 331
e301    144 261
e302    117 261
e303    33  117
e304    33  34
e305    34  274
e306    115 274
e307    115 368
e308    92  368
e309    56  92
e310    56  355
e311    250 355
e312    130 250
e313    130 365
e314    319 365
e315    319 341
