V: 700
E: 122325
Edge_Id Vi  Vj
e1      430 664
e2      430 683
e3      141 683
e4      116 141
e5      116 691
e6      500 691
e7      500 615
e8      317 615
e9      317 624
e10     186 624
e11     186 346
e12     49  346
e13     49  694
e14     325 694
e15     325 579
e16     477 579
e17     67  477
e18     67  631
e19     122 631
e20     122 625
e21     202 625
e22     105 202
e23     105 214
e24     73  214
e25     42  73
e26     42  659
e27     117 659
e28     117 561
e29     131 561
e30     131 270
e31     270 652
e32     527 652
e33     324 527
e34     324 439
e35     439 463
e36     463 529
e37     445 529
e38     98  445
e39     98  382
e40     63  382
e41     63  108
e42     108 444
e43     444 519
e44     519 660
e45     656 660
e46     75  656
e47     75  261
e48     237 261
e49     132 237
e50     132 687
e51     543 687
e52     184 543
e53     184 366
e54     366 370
e55     370 550
e56     263 550
e57     263 355
e58     355 675
e59     25  675
e60     25  299
e61     299 392
e62     14  392
e63     14  384
e64     251 384
e65     152 251
e66     152 347
e67     204 347
e68     107 204
e69     107 343
e70     343 671
e71     288 671
e72     85  288
e73     70  85
e74     8   70
e75     8   16
e76     16  422
e77     298 422
e78     279 298
e79     77  279
e80     77  383
e81     383 515
e82     515 672
e83     32  672
e84     32  137
e85     137 441
e86     229 441
e87     229 377
e88     320 377
e89     155 320
e90     155 597
e91     50  597
e92     50  586
e93     191 586
e94     191 342
e95     342 454
e96     454 679
e97     217 679
e98     217 641
e99     635 641
e100    426 635
e101    34  426
e102    34  87
e103    40  87
e104    40  611
e105    416 611
e106    58  416
e107    58  429
e108    429 506
e109    195 506
e110    195 559
e111    153 559
e112    153 183
e113    183 528
e114    528 695
e115    92  695
e116    92  126
e117    126 316
e118    316 551
e119    328 551
e120    285 328
e121    285 354
e122    354 411
e123    394 411
e124    353 394
e125    38  353
e126    38  341
e127    341 693
e128    350 693
e129    350 640
e130    446 640
e131    446 466
e132    124 466
e133    90  124
e134    90  321
e135    321 535
e136    374 535
e137    374 663
e138    657 663
e139    420 657
e140    216 420
e141    216 548
e142    385 548
e143    303 385
e144    53  303
e145    53  614
e146    610 614
e147    415 610
e148    22  415
e149    22  313
e150    313 417
e151    417 513
e152    199 513
e153    199 642
e154    10  642
e155    10  312
e156    312 632
e157    632 685
e158    39  685
e159    39  80
e160    80  129
e161    129 666
e162    93  666
e163    93  323
e164    323 517
e165    378 517
e166    193 378
e167    134 193
e168    134 221
e169    207 221
e170    207 456
e171    456 544
e172    373 544
e173    373 572
e174    501 572
e175    501 665
e176    665 692
e177    669 692
e178    532 669
e179    176 532
e180    176 608
e181    293 608
e182    293 485
e183    254 485
e184    254 662
e185    362 662
e186    169 362
e187    169 647
e188    88  647
e189    88  433
e190    4   433
e191    4   338
e192    338 520
e193    165 520
e194    165 287
e195    287 494
e196    225 494
e197    225 525
e198    190 525
e199    190 651
e200    622 651
e201    275 622
e202    275 574
e203    145 574
e204    145 577
e205    300 577
e206    160 300
e207    160 290
e208    290 391
e209    81  391
e210    81  571
e211    218 571
e212    100 218
e213    100 584
e214    283 584
e215    51  283
e216    51  259
e217    259 435
e218    245 435
e219    245 405
e220    405 700
e221    9   700
e222    9   545
e223    266 545
e224    266 623
e225    43  623
e226    43  135
e227    135 277
e228    24  277
e229    24  82
e230    82  674
e231    459 674
e232    192 459
e233    192 249
e234    164 249
e235    164 258
e236    258 539
e237    233 539
e238    97  233
e239    97  265
e240    178 265
e241    178 645
e242    319 645
e243    319 488
e244    488 617
e245    69  617
e246    69  167
e247    167 587
e248    158 587
e249    158 389
e250    389 601
e251    369 601
e252    369 452
e253    72  452
e254    72  481
e255    481 582
e256    276 582
e257    276 541
e258    302 541
e259    302 419
e260    156 419
e261    120 156
e262    120 627
e263    301 627
e264    248 301
e265    248 612
e266    591 612
e267    234 591
e268    234 423
e269    400 423
e270    400 552
e271    552 661
e272    162 661
e273    162 189
e274    189 352
e275    352 427
e276    427 510
e277    510 599
e278    66  599
e279    66  113
e280    113 491
e281    179 491
e282    179 502
e283    442 502
e284    47  442
e285    47  393
e286    111 393
e287    111 475
e288    475 540
e289    410 540
e290    410 526
e291    380 526
e292    380 471
e293    471 590
e294    590 593
e295    398 593
e296    356 398
e297    356 381
e298    381 596
e299    536 596
e300    536 557
e301    440 557
e302    118 440
e303    54  118
e304    54  437
e305    260 437
e306    260 387
e307    27  387
e308    15  27
e309    15  638
e310    462 638
e311    460 462
e312    460 576
e313    271 576
e314    271 360
e315    360 637
e316    553 637
e317    403 553
e318    403 677
e319    399 677
e320    203 399
e321    203 495
e322    465 495
e323    465 682
e324    96  682
e325    79  96
e326    79  458
e327    138 458
e328    138 219
e329    163 219
e330    163 224
e331    74  224
e332    74  653
e333    613 653
e334    472 613
e335    472 531
e336    516 531
e337    44  516
e338    44  180
e339    180 268
e340    268 509
e341    408 509
e342    372 408
e343    372 565
e344    406 565
e345    406 570
e346    243 570
e347    243 620
e348    340 620
e349    340 448
e350    123 448
e351    123 197
e352    109 197
e353    109 575
e354    239 575
e355    239 607
e356    431 607
e357    345 431
e358    345 681
e359    646 681
e360    64  646
e361    64  175
e362    65  175
e363    65  386
e364    305 386
e365    305 673
e366    274 673
e367    241 274
e368    157 241
e369    130 157
e370    119 130
e371    119 619
e372    580 619
e373    161 580
e374    83  161
e375    83  295
e376    295 339
e377    322 339
e378    187 322
e379    125 187
e380    125 569
e381    560 569
e382    272 560
e383    272 348
e384    20  348
e385    20  256
e386    256 690
e387    91  690
e388    91  128
e389    128 496
e390    490 496
e391    286 490
e392    286 296
e393    296 538
e394    421 538
e395    228 421
e396    18  228
e397    18  523
e398    478 523
e399    35  478
e400    35  578
e401    486 578
e402    349 486
e403    208 349
e404    208 667
e405    212 667
e406    171 212
e407    171 554
e408    554 605
e409    95  605
e410    41  95
e411    41  177
e412    31  177
e413    31  639
e414    226 639
e415    61  226
e416    61  402
e417    143 402
e418    143 451
e419    264 451
e420    211 264
e421    194 211
e422    194 371
e423    315 371
e424    315 326
e425    5   326
e426    5   533
e427    533 618
e428    512 618
e429    443 512
e430    112 443
e431    112 562
e432    101 562
e433    101 492
e434    6   492
e435    6   23
e436    1   23
e437    1   45
e438    45  598
e439    365 598
e440    17  365
