V: 1000
E: 149850
Edge_Id Vi   Vj
e1      742  896
e2      732  896
e3      86   732
e4      86   524
e5      28   524
e6      28   914
e7      910  914
e8      749  910
e9      1    749
e10     1    826
e11     495  826
e12     495  786
e13     720  786
e14     109  720
e15     109  352
e16     352  580
e17     580  929
e18     906  929
e19     544  906
e20     171  544
e21     171  539
e22     501  539
e23     297  501
e24     297  877
e25     718  877
e26     718  924
e27     566  924
e28     566  712
e29     712  994
e30     244  994
e31     244  395
e32     395  980
e33     534  980
e34     534  935
e35     595  935
e36     272  595
e37     145  272
e38     145  807
e39     807  936
e40     506  936
e41     336  506
e42     336  346
e43     346  505
e44     126  505
e45     77   126
e46     77   598
e47     339  598
e48     339  458
e49     458  614
e50     380  614
e51     260  380
e52     260  575
e53     575  926
e54     904  926
e55     765  904
e56     758  765
e57     758  895
e58     168  895
e59     168  893
e60     134  893
e61     20   134
e62     20   484
e63     484  958
e64     653  958
e65     653  868
e66     868  949
e67     949  986
e68     141  986
e69     141  574
e70     519  574
e71     130  519
e72     103  130
e73     103  681
e74     654  681
e75     654  818
e76     818  882
e77     784  882
e78     529  784
e79     390  529
e80     390  689
e81     660  689
e82     562  660
e83     562  727
e84     673  727
e85     123  673
e86     123  143
e87     143  340
e88     340  475
e89     190  475
e90     190  320
e91     320  923
e92     154  923
e93     154  528
e94     503  528
e95     91   503
e96     91   532
e97     532  621
e98     273  621
e99     153  273
e100    153  982
e101    905  982
e102    284  905
e103    284  836
e104    449  836
e105    449  642
e106    642  707
e107    386  707
e108    290  386
e109    290  507
e110    70   507
e111    70   739
e112    38   739
e113    38   300
e114    128  300
e115    7    128
e116    7    326
e117    215  326
e118    57   215
e119    57   101
e120    101  480
e121    166  480
e122    166  674
e123    2    674
e124    2    764
e125    208  764
e126    116  208
e127    116  354
e128    354  721
e129    721  962
e130    945  962
e131    806  945
e132    763  806
e133    30   763
e134    30   863
e135    781  863
e136    781  977
e137    124  977
e138    124  554
e139    327  554
e140    293  327
e141    292  293
e142    221  292
e143    194  221
e144    194  581
e145    581  931
e146    378  931
e147    378  498
e148    498  641
e149    522  641
e150    304  522
e151    65   304
e152    65   871
e153    871  938
e154    656  938
e155    405  656
e156    160  405
e157    160  715
e158    715  716
e159    716  858
e160    441  858
e161    441  668
e162    258  668
e163    23   258
e164    23   61
e165    61   710
e166    68   710
e167    68   250
e168    76   250
e169    76   675
e170    675  842
e171    617  842
e172    617  919
e173    817  919
e174    289  817
e175    289  376
e176    376  638
e177    638  890
e178    416  890
e179    416  995
e180    565  995
e181    565  930
e182    879  930
e183    256  879
e184    256  588
e185    588  983
e186    843  983
e187    222  843
e188    222  942
e189    567  942
e190    567  697
e191    697  780
e192    702  780
e193    446  702
e194    355  446
e195    246  355
e196    246  735
e197    735  996
e198    189  996
e199    189  885
e200    609  885
e201    349  609
e202    306  349
e203    306  944
e204    249  944
e205    249  829
e206    685  829
e207    669  685
e208    334  669
e209    334  951
e210    846  951
e211    185  846
e212    185  690
e213    88   690
e214    88   670
e215    623  670
e216    509  623
e217    51   509
e218    51   984
e219    60   984
e220    60   907
e221    412  907
e222    412  564
e223    564  734
e224    734  911
e225    740  911
e226    182  740
e227    182  464
e228    464  837
e229    201  837
e230    163  201
e231    163  913
e232    361  913
e233    361  489
e234    489  916
e235    447  916
e236    447  639
e237    156  639
e238    156  997
e239    803  997
e240    717  803
e241    569  717
e242    245  569
e243    245  978
e244    467  978
e245    467  746
e246    375  746
e247    375  922
e248    164  922
e249    164  220
e250    220  286
e251    279  286
e252    279  694
e253    259  694
e254    259  599
e255    247  599
e256    35   247
e257    35   902
e258    381  902
e259    381  476
e260    476  655
e261    106  655
e262    106  897
e263    351  897
e264    351  988
e265    54   988
e266    54   880
e267    197  880
e268    197  967
e269    331  967
e270    32   331
e271    32   223
e272    223  521
e273    521  723
e274    723  888
e275    230  888
e276    230  939
e277    626  939
e278    626  634
e279    634  815
e280    474  815
e281    474  822
e282    809  822
e283    499  809
e284    499  597
e285    367  597
e286    367  909
e287    889  909
e288    53   889
e289    53   779
e290    167  779
e291    167  561
e292    561  950
e293    526  950
e294    139  526
e295    139  783
e296    410  783
e297    385  410
e298    385  460
e299    460  927
e300    792  927
e301    792  881
e302    637  881
e303    107  637
e304    107  415
e305    415  678
e306    483  678
e307    483  971
e308    392  971
e309    285  392
e310    285  465
e311    465  491
e312    491  823
e313    497  823
e314    497  602
e315    602  940
e316    3    940
e317    3    831
e318    831  891
e319    873  891
e320    398  873
e321    398  463
e322    353  463
e323    353  364
e324    6    364
e325    6    688
e326    688  782
e327    782  856
e328    341  856
e329    341  733
e330    555  733
e331    555  755
e332    239  755
e333    239  278
e334    52   278
e335    52   900
e336    825  900
e337    549  825
e338    549  748
e339    613  748
e340    138  613
e341    138  337
e342    93   337
e343    93   672
e344    67   672
e345    67   338
e346    253  338
e347    186  253
e348    186  596
e349    596  666
e350    100  666
e351    100  612
e352    612  860
e353    111  860
e354    111  228
e355    228  991
e356    520  991
e357    520  687
e358    514  687
e359    436  514
e360    436  834
e361    834  840
e362    347  840
e363    87   347
e364    87   377
e365    333  377
e366    104  333
e367    104  662
e368    322  662
e369    302  322
e370    302  431
e371    417  431
e372    394  417
e373    394  790
e374    790  876
e375    196  876
e376    196  667
e377    159  667
e378    159  205
e379    71   205
e380    71   855
e381    409  855
e382    409  752
e383    471  752
e384    79   471
e385    79   795
e386    579  795
e387    579  753
e388    342  753
e389    232  342
e390    232  830
e391    177  830
e392    177  296
e393    5    296
e394    5    627
e395    627  854
e396    98   854
e397    98   288
e398    288  820
e399    787  820
e400    266  787
e401    266  445
e402    231  445
e403    231  801
e404    85   801
e405    85   94
e406    94   202
e407    202  812
e408    329  812
e409    33   329
e410    33   48
e411    48   368
e412    368  800
e413    4    800
e414    4    9
e415    9    696
e416    696  789
e417    624  789
e418    559  624
e419    356  559
e420    356  591
e421    413  591
e422    413  649
e423    525  649
e424    425  525
e425    425  571
e426    161  571
e427    161  363
e428    363  432
e429    323  432
e430    323  371
e431    371  493
e432    479  493
e433    479  541
e434    541  955
e435    679  955
e436    37   679
e437    37   147
e438    147  180
e439    180  921
e440    198  921
e441    198  423
e442    423  979
e443    170  979
e444    170  252
e445    252  963
e446    572  963
e447    132  572
e448    132  793
e449    713  793
e450    452  713
e451    452  973
e452    682  973
e453    682  737
e454    372  737
e455    372  849
e456    149  849
e457    42   149
e458    42   199
e459    199  952
e460    325  952
e461    233  325
e462    90   233
e463    90   841
e464    453  841
e465    411  453
e466    255  411
e467    209  255
e468    162  209
e469    162  808
e470    537  808
e471    537  862
e472    671  862
e473    204  671
e474    135  204
e475    135  648
e476    477  648
e477    137  477
e478    137  851
e479    238  851
e480    136  238
e481    136  643
e482    643  701
e483    680  701
e484    34   680
e485    34   309
e486    169  309
e487    169  676
e488    676  867
e489    759  867
e490    403  759
e491    311  403
e492    311  488
e493    488  731
e494    516  731
e495    516  568
e496    568  601
e497    172  601
e498    172  274
e499    274  439
e500    439  724
e501    401  724
e502    366  401
e503    335  366
e504    335  437
e505    437  594
e506    251  594
e507    92   251
e508    92   328
e509    328  451
e510    291  451
e511    291  618
e512    557  618
e513    557  625
e514    414  625
e515    414  604
e516    181  604
e517    19   181
e518    19   283
e519    283  870
e520    421  870
e521    421  490
e522    490  884
e523    393  884
e524    294  393
e525    117  294
e526    117  709
e527    203  709
e528    203  276
e529    276  426
e530    125  426
e531    125  745
e532    235  745
e533    235  974
e534    113  974
e535    113  542
e536    542  700
e537    179  700
e538    179  281
e539    281  303
e540    63   303
e541    63   632
e542    312  632
e543    312  481
e544    472  481
e545    146  472
e546    127  146
e547    127  224
e548    165  224
e549    144  165
e550    144  699
e551    699  968
e552    968  985
e553    175  985
e554    150  175
e555    150  965
e556    206  965
e557    206  762
e558    762  933
e559    330  933
e560    330  408
e561    408  552
e562    324  552
e563    178  324
e564    178  582
e565    515  582
e566    515  805
e567    26   805
e568    26   987
e569    850  987
e570    434  850
e571    10   434
e572    10   975
e573    512  975
e574    512  869
e575    500  869
e576    265  500
e577    265  915
e578    50   915
e579    18   50
e580    18   756
e581    606  756
e582    362  606
e583    362  698
e584    576  698
e585    576  773
e586    305  773
e587    305  527
e588    527  714
e589    382  714
e590    119  382
e591    119  558
e592    148  558
e593    148  747
e594    404  747
e595    404  502
e596    193  502
e597    193  791
e598    470  791
e599    419  470
e600    301  419
e601    62   301
e602    62   543
e603    262  543
e604    241  262
e605    241  661
e606    183  661
e607    183  684
e608    553  684
e609    553  587
e610    418  587
e611    418  645
e612    560  645
e613    55   560
e614    55   976
e615    373  976
e616    373  957
e617    577  957
e618    492  577
e619    492  530
e620    240  530
e621    240  268
e622    268  429
e623    212  429
e624    31   212
e625    31   583
e626    420  583
e627    420  424
e628    424  540
e629    121  540
e630    121  315
e631    315  316
e632    316  605
e633    538  605
e634    267  538
e635    267  943
e636    444  943
e637    359  444
e638    226  359
e639    213  226
e640    213  406
e641    27   406
e642    27   370
e643    275  370
e644    142  275
e645    142  402
e646    402  883
e647    187  883
e648    58   187
e649    58   981
e650    242  981
e651    242  573
e652    504  573
e653    321  504
e654    243  321
e655    243  478
e656    427  478
e657    152  427
e658    140  152
e659    140  864
e660    551  864
e661    551  959
e662    517  959
e663    517  593
e664    570  593
e665    319  570
e666    319  659
e667    659  960
e668    799  960
e669    332  799
e670    332  383
e671    383  533
e672    531  533
e673    280  531
e674    96   280
e675    96   615
e676    318  615
e677    229  318
e678    229  903
e679    157  903
e680    157  852
e681    852  861
e682    677  861
e683    428  677
