V: 400
E: 15960
Edge_Id Vi  Vj
e1      116 168
e2      168 374
e3      255 374
e4      15  255
e5      15  39
e6      39  109
e7      109 400
e8      354 400
e9      114 354
e10     69  114
e11     69  339
e12     107 339
e13     107 126
e14     126 260
e15     102 260
e16     102 303
e17     84  303
e18     84  393
e19     298 393
e20     59  298
e21     59  208
e22     208 245
e23     245 337
e24     79  337
e25     79  133
e26     24  133
e27     24  62
e28     62  78
e29     57  78
e30     40  57
e31     40  191
e32     191 299
e33     299 371
e34     312 371
e35     278 312
e36     246 278
e37     242 246
e38     153 242
e39     153 211
e40     211 248
e41     202 248
e42     202 341
e43     105 341
e44     105 330
e45     215 330
e46     42  215
e47     42  198
e48     16  198
e49     16  333
e50     333 399
e51     8   399
e52     8   187
e53     94  187
e54     86  94
e55     86  267
e56     201 267
e57     175 201
e58     175 262
e59     262 301
e60     38  301
e61     38  254
e62     131 254
e63     72  131
e64     72  359
e65     169 359
e66     80  169
e67     80  185
e68     20  185
e69     20  378
e70     74  378
e71     74  329
e72     329 356
e73     356 370
e74     49  370
e75     49  112
e76     112 237
e77     60  237
e78     60  178
e79     178 357
e80     73  357
e81     73  251
e82     251 265
e83     265 309
e84     224 309
e85     218 224
e86     218 276
e87     243 276
e88     188 243
e89     188 295
e90     92  295
e91     33  92
e92     33  53
e93     53  318
e94     25  318
e95     25  347
e96     83  347
e97     83  346
e98     138 346
e99     138 142
e100    142 216
e101    216 377
e102    328 377
e103    113 328
e104    113 130
e105    130 141
e106    141 160
e107    160 375
e108    37  375
e109    37  226
e110    34  226
e111    34  288
e112    288 322
e113    199 322
e114    199 382
e115    139 382
e116    32  139
e117    32  358
e118    219 358
e119    76  219
e120    76  210
e121    210 353
e122    196 353
e123    166 196
e124    165 166
e125    58  165
e126    58  327
e127    27  327
e128    27  289
e129    180 289
e130    56  180
e131    56  127
e132    85  127
e133    85  217
e134    217 244
e135    21  244
e136    21  67
e137    67  108
e138    108 186
e139    110 186
e140    110 134
e141    54  134
e142    26  54
e143    26  98
e144    98  162
e145    162 388
e146    238 388
e147    238 311
e148    311 323
e149    252 323
e150    252 272
e151    272 350
e152    77  350
e153    77  236
e154    111 236
e155    111 317
e156    203 317
e157    122 203
e158    12  122
e159    12  336
e160    270 336
e161    161 270
e162    161 193
e163    144 193
e164    144 151
e165    151 192
e166    52  192
e167    52  195
e168    68  195
e169    18  68
e170    18  119
e171    119 398
e172    372 398
e173    249 372
e174    249 306
e175    306 391
e176    70  391
e177    70  171
e178    171 281
e179    281 316
e180    87  316
e181    87  321
e182    89  321
e183    89  261
e184    145 261
e185    30  145
e186    30  189
e187    189 343
e188    182 343
e189    88  182
