V: 800
E: 223720
Edge_Id Vi  Vj
e1      66  229
e2      66  321
e3      220 321
e4      220 734
e5      106 734
e6      106 683
e7      452 683
e8      452 689
e9      435 689
e10     435 660
e11     459 660
e12     459 698
e13     698 761
e14     576 761
e15     297 576
e16     203 297
e17     21  203
e18     21  257
e19     7   257
e20     7   190
e21     190 480
e22     480 752
e23     606 752
e24     606 758
e25     41  758
e26     41  312
e27     312 662
e28     449 662
e29     35  449
e30     35  368
e31     53  368
e32     53  123
e33     123 623
e34     623 639
e35     618 639
e36     618 699
e37     28  699
e38     28  62
e39     62  669
e40     669 784
e41     502 784
e42     73  502
e43     73  208
e44     61  208
e45     61  83
e46     83  587
e47     187 587
e48     63  187
e49     63  85
e50     85  777
e51     155 777
e52     155 575
e53     575 632
e54     65  632
e55     65  125
e56     125 378
e57     378 538
e58     538 708
e59     264 708
e60     264 512
e61     512 557
e62     122 557
e63     122 750
e64     200 750
e65     200 277
e66     277 493
e67     112 493
e68     112 460
e69     55  460
e70     55  601
e71     601 667
e72     243 667
e73     235 243
e74     235 280
e75     280 537
e76     537 717
e77     614 717
e78     304 614
e79     76  304
e80     76  792
e81     685 792
e82     19  685
e83     19  328
e84     328 540
e85     184 540
e86     184 420
e87     420 541
e88     526 541
e89     526 680
e90     194 680
e91     194 737
e92     314 737
e93     74  314
e94     74  727
e95     178 727
e96     178 431
e97     431 718
e98     718 767
e99     151 767
e100    92  151
e101    92  643
e102    643 695
e103    695 735
e104    693 735
e105    693 722
e106    246 722
e107    246 477
e108    477 703
e109    234 703
e110    167 234
e111    133 167
e112    133 152
e113    152 464
e114    276 464
e115    276 510
e116    510 796
e117    444 796
e118    400 444
e119    206 400
e120    49  206
e121    49  451
e122    451 552
e123    69  552
e124    69  413
e125    413 585
e126    514 585
e127    514 613
e128    613 776
e129    648 776
e130    385 648
e131    385 684
e132    186 684
e133    186 490
e134    117 490
e135    117 655
e136    426 655
e137    166 426
e138    166 285
e139    285 558
e140    23  558
e141    23  746
e142    254 746
e143    254 751
e144    381 751
e145    381 544
e146    509 544
e147    509 666
e148    612 666
e149    389 612
e150    389 763
e151    672 763
e152    491 672
e153    179 491
e154    100 179
e155    100 372
e156    172 372
e157    172 597
e158    81  597
e159    81  345
e160    2   345
e161    2   324
e162    324 631
e163    631 645
e164    29  645
e165    29  483
e166    483 721
e167    44  721
e168    44  281
e169    281 308
e170    308 342
e171    342 427
e172    33  427
e173    33  409
e174    144 409
e175    144 726
e176    39  726
e177    39  137
e178    137 504
e179    404 504
e180    174 404
e181    174 376
e182    376 539
e183    539 635
e184    635 773
e185    338 773
e186    18  338
e187    18  604
e188    495 604
e189    13  495
e190    13  291
e191    291 392
e192    115 392
e193    46  115
e194    46  676
e195    188 676
e196    188 757
e197    319 757
e198    319 712
e199    164 712
e200    164 240
e201    240 296
e202    296 782
e203    17  782
e204    17  616
e205    411 616
e206    317 411
e207    30  317
e208    30  153
e209    153 652
e210    210 652
e211    210 299
e212    299 582
e213    439 582
e214    163 439
e215    163 344
e216    318 344
e217    318 358
e218    329 358
e219    161 329
e220    14  161
e221    14  363
e222    363 755
e223    530 755
e224    530 702
e225    367 702
e226    198 367
e227    198 501
e228    501 521
e229    88  521
e230    88  196
e231    196 265
e232    265 447
e233    24  447
e234    11  24
e235    11  68
e236    68  360
e237    360 783
e238    226 783
e239    130 226
e240    130 396
e241    42  396
e242    42  51
e243    51  518
e244    518 739
e245    71  739
e246    71  222
e247    124 222
e248    124 478
e249    72  478
e250    72  375
e251    375 545
e252    545 694
e253    609 694
e254    244 609
e255    244 520
e256    520 534
e257    529 534
e258    402 529
e259    402 696
e260    519 696
e261    519 562
e262    359 562
e263    287 359
e264    287 364
e265    364 682
e266    250 682
e267    250 572
e268    136 572
e269    136 508
e270    366 508
e271    366 710
e272    638 710
e273    245 638
e274    245 414
e275    134 414
e276    134 343
e277    343 691
e278    333 691
e279    333 677
e280    551 677
e281    551 688
e282    429 688
e283    34  429
e284    34  779
e285    771 779
e286    730 771
e287    221 730
e288    6   221
e289    6   118
e290    84  118
e291    84  794
e292    661 794
e293    116 661
e294    116 505
e295    209 505
e296    90  209
e297    90  723
e298    723 729
e299    511 729
e300    286 511
e301    181 286
e302    181 195
e303    195 607
e304    212 607
e305    212 634
e306    594 634
e307    109 594
e308    109 588
e309    145 588
e310    145 630
e311    586 630
e312    356 586
e313    307 356
e314    307 768
e315    370 768
e316    160 370
e317    160 293
e318    3   293
e319    3   95
e320    95  600
e321    384 600
e322    278 384
e323    278 714
e324    377 714
e325    377 390
e326    390 595
e327    382 595
e328    274 382
e329    215 274
e330    215 470
e331    50  470
e332    50  162
e333    162 430
e334    430 657
e335    75  657
e336    75  561
e337    170 561
e338    170 224
e339    102 224
e340    102 678
e341    58  678
e342    58  94
e343    94  327
e344    107 327
e345    107 438
e346    438 629
e347    489 629
e348    489 704
e349    326 704
e350    326 728
e351    728 738
e352    99  738
e353    99  741
e354    387 741
e355    214 387
e356    214 605
e357    248 605
e358    248 611
e359    52  611
e360    52  791
e361    201 791
e362    201 642
e363    223 642
e364    223 628
e365    25  628
e366    25  516
e367    322 516
e368    322 453
e369    405 453
e370    405 679
e371    247 679
e372    247 337
e373    337 789
e374    775 789
e375    128 775
e376    128 332
e377    138 332
e378    138 475
e379    475 626
e380    352 626
e381    352 633
e382    20  633
e383    4   20
e384    4   397
e385    238 397
e386    238 273
e387    273 610
e388    165 610
e389    165 442
e390    442 484
e391    362 484
e392    362 787
e393    104 787
e394    104 237
e395    108 237
e396    108 715
e397    560 715
e398    440 560
e399    440 559
e400    110 559
e401    110 472
e402    472 528
e403    528 795
e404    795 798
e405    282 798
e406    103 282
e407    59  103
e408    59  289
e409    177 289
e410    177 425
e411    146 425
e412    146 386
e413    386 574
e414    231 574
e415    231 471
e416    121 471
e417    121 401
e418    154 401
e419    9   154
e420    9   140
e421    140 500
e422    500 725
e423    719 725
e424    719 744
e425    649 744
e426    126 649
e427    126 533
e428    417 533
e429    417 542
e430    275 542
e431    275 311
e432    311 446
e433    446 790
e434    458 790
e435    249 458
e436    249 567
e437    350 567
e438    350 732
e439    732 769
e440    67  769
e441    67  78
e442    78  120
e443    120 590
e444    263 590
e445    263 302
e446    93  302
e447    93  348
e448    348 636
e449    636 760
e450    79  760
e451    79  288
e452    288 646
e453    646 743
e454    168 743
e455    168 759
e456    759 780
e457    555 780
e458    555 774
e459    213 774
e460    213 563
e461    43  563
e462    43  469
e463    469 608
e464    189 608
e465    189 241
e466    241 543
e467    373 543
e468    233 373
e469    233 554
e470    496 554
e471    143 496
e472    143 450
e473    450 785
e474    230 785
e475    230 398
e476    202 398
e477    202 548
e478    455 548
e479    455 571
e480    12  571
e481    12  410
e482    309 410
