V: 1000
E: 24975
Edge_Id Vi   Vj
e1      249  947
e2      802  947
e3      129  802
e4      129  244
e5      244  929
e6      62   929
e7      62   536
e8      536  659
e9      659  941
e10     254  941
e11     254  699
e12     699  977
e13     250  977
e14     250  743
e15     337  743
e16     337  984
e17     181  984
e18     181  724
e19     161  724
e20     25   161
e21     25   787
e22     669  787
e23     345  669
e24     345  756
e25     414  756
e26     414  806
e27     796  806
e28     796  870
e29     870  892
e30     892  937
e31     807  937
e32     375  807
e33     46   375
e34     46   262
e35     262  423
e36     423  967
e37     783  967
e38     617  783
e39     79   617
e40     79   590
e41     583  590
e42     116  583
e43     31   116
e44     31   868
e45     868  972
e46     479  972
e47     341  479
e48     341  389
e49     128  389
e50     128  666
e51     17   666
e52     17   854
e53     163  854
e54     163  242
e55     242  696
e56     405  696
e57     405  556
e58     556  703
e59     23   703
e60     23   70
e61     70   469
e62     469  890
e63     688  890
e64     688  751
e65     446  751
e66     213  446
e67     213  869
e68     105  869
e69     105  312
e70     312  347
e71     347  735
e72     735  801
e73     776  801
e74     648  776
e75     648  823
e76     140  823
e77     140  889
e78     889  949
e79     844  949
e80     3    844
e81     3    741
e82     464  741
e83     464  901
e84     901  983
e85     481  983
e86     460  481
e87     285  460
e88     93   285
e89     84   93
e90     84   887
e91     887  945
e92     609  945
e93     225  609
e94     225  376
e95     376  605
e96     526  605
e97     407  526
e98     407  962
e99     962  995
e100    747  995
e101    626  747
e102    404  626
e103    323  404
e104    323  602
e105    602  911
e106    599  911
e107    582  599
e108    582  815
e109    815  880
e110    302  880
e111    302  957
e112    727  957
e113    112  727
e114    112  768
e115    736  768
e116    736  906
e117    610  906
e118    529  610
e119    8    529
e120    8    360
e121    360  938
e122    36   938
e123    36   700
e124    211  700
e125    211  706
e126    190  706
e127    190  401
e128    401  433
e129    133  433
e130    133  928
e131    336  928
e132    155  336
e133    155  953
e134    448  953
e135    448  635
e136    149  635
e137    122  149
e138    122  480
e139    160  480
e140    156  160
e141    156  714
e142    714  974
e143    270  974
e144    270  620
e145    120  620
e146    120  419
e147    419  502
e148    502  793
e149    709  793
e150    487  709
e151    395  487
e152    395  581
e153    581  760
e154    760  971
e155    26   971
e156    26   408
e157    408  910
e158    831  910
e159    220  831
e160    220  980
e161    585  980
e162    585  891
e163    445  891
e164    279  445
e165    279  503
e166    430  503
e167    367  430
e168    367  860
e169    58   860
e170    58   960
e171    501  960
e172    325  501
e173    171  325
e174    171  545
