V: 400
E: 39900
Edge_Id Vi  Vj
e1      133 159
e2      159 246
e3      51  246
e4      51  197
e5      197 265
e6      134 265
e7      134 374
e8      329 374
e9      126 329
e10     126 178
e11     178 270
e12     55  270
e13     55  86
e14     3   86
e15     3   259
e16     222 259
e17     222 302
e18     233 302
e19     233 315
e20     223 315
e21     162 223
e22     124 162
e23     20  124
e24     20  136
e25     50  136
e26     27  50
e27     27  91
e28     91  289
e29     289 337
e30     337 398
e31     53  398
e32     53  312
e33     312 395
e34     5   395
e35     5   284
e36     187 284
e37     47  187
e38     32  47
e39     32  140
e40     140 192
e41     192 239
e42     212 239
e43     201 212
e44     102 201
e45     102 122
e46     14  122
e47     14  318
e48     243 318
e49     243 320
e50     320 340
e51     340 366
e52     179 366
e53     6   179
e54     6   151
e55     151 296
e56     2   296
e57     2   219
e58     219 356
e59     127 356
e60     85  127
e61     56  85
e62     56  349
e63     188 349
e64     188 260
e65     111 260
e66     111 139
e67     59  139
e68     59  115
e69     46  115
e70     46  98
e71     98  322
e72     322 345
e73     255 345
e74     141 255
e75     141 308
e76     280 308
e77     43  280
e78     43  48
e79     48  269
e80     242 269
e81     72  242
e82     72  373
e83     232 373
e84     232 287
e85     234 287
e86     88  234
e87     81  88
e88     81  342
e89     92  342
e90     92  241
e91     63  241
e92     63  77
e93     77  358
e94     90  358
e95     90  256
e96     149 256
e97     149 229
e98     229 321
e99     237 321
e100    237 383
e101    331 383
e102    258 331
e103    202 258
e104    174 202
e105    158 174
e106    112 158
e107    33  112
e108    33  213
e109    67  213
e110    67  376
e111    376 385
e112    29  385
e113    29  80
e114    80  285
e115    104 285
e116    104 226
e117    226 283
e118    283 351
e119    351 378
e120    378 379
e121    291 379
e122    11  291
e123    11  316
e124    60  316
e125    60  154
e126    154 353
e127    268 353
e128    147 268
e129    147 313
e130    116 313
e131    116 276
e132    276 390
e133    261 390
e134    107 261
e135    107 215
e136    180 215
e137    180 238
e138    238 286
e139    286 367
e140    58  367
e141    58  196
e142    196 225
e143    191 225
e144    191 355
e145    142 355
e146    142 199
e147    84  199
e148    84  96
e149    96  311
e150    156 311
e151    131 156
e152    131 257
e153    130 257
e154    130 334
e155    334 377
e156    185 377
e157    185 206
e158    78  206
e159    78  277
e160    277 357
e161    326 357
e162    129 326
e163    21  129
e164    21  332
e165    274 332
e166    274 365
e167    365 380
e168    207 380
e169    12  207
e170    12  297
e171    30  297
e172    30  372
e173    292 372
e174    292 384
e175    294 384
e176    205 294
e177    93  205
e178    93  347
e179    82  347
e180    82  145
e181    109 145
e182    109 299
e183    79  299
e184    25  79
e185    25  382
e186    339 382
e187    227 339
e188    37  227
e189    37  220
e190    220 281
e191    150 281
e192    150 209
e193    39  209
e194    39  94
e195    94  148
e196    148 195
e197    195 264
e198    28  264
e199    28  333
e200    173 333
e201    49  173
e202    49  343
e203    341 343
e204    22  341
e205    22  120
e206    31  120
e207    31  44
e208    44  73
e209    73  181
e210    35  181
e211    35  253
e212    251 253
e213    251 324
e214    216 324
