V: 300
E: 4485
Edge_Id Vi  Vj
e1      68  195
e2      68  145
e3      145 164
e4      48  164
e5      38  48
e6      38  129
e7      116 129
e8      116 292
e9      127 292
e10     110 127
e11     91  110
e12     5   91
e13     5   236
e14     163 236
e15     163 272
e16     267 272
e17     243 267
e18     97  243
e19     97  185
e20     185 212
e21     212 280
e22     221 280
e23     176 221
e24     8   176
e25     8   30
e26     30  63
e27     63  82
e28     35  82
e29     35  49
e30     49  155
e31     155 241
e32     152 241
e33     152 259
e34     259 265
e35     265 289
e36     41  289
e37     41  298
e38     45  298
e39     45  105
e40     44  105
e41     44  213
e42     213 216
e43     207 216
e44     207 224
e45     138 224
e46     119 138
e47     77  119
e48     60  77
e49     24  60
e50     24  294
e51     139 294
e52     139 178
e53     109 178
e54     109 283
e55     211 283
e56     17  211
e57     17  293
e58     208 293
e59     126 208
e60     96  126
e61     96  222
e62     122 222
e63     122 130
e64     130 228
e65     64  228
e66     51  64
e67     51  214
e68     66  214
e69     46  66
e70     46  73
e71     9   73
e72     9   296
e73     191 296
e74     173 191
e75     173 188
e76     188 237
e77     220 237
e78     220 223
e79     223 244
e80     244 282
e81     168 282
e82     135 168
e83     135 247
e84     93  247
e85     6   93
e86     6   271
e87     104 271
e88     95  104
e89     95  270
e90     151 270
e91     151 219
e92     219 290
e93     124 290
e94     124 125
e95     125 183
e96     183 264
e97     264 269
e98     269 276
e99     275 276
e100    103 275
e101    103 107
e102    107 245
e103    89  245
e104    89  90
e105    90  250
e106    15  250
e107    15  28
e108    28  218
e109    218 234
e110    136 234
e111    16  136
e112    16  235
e113    128 235
e114    118 128
e115    118 182
e116    182 252
e117    203 252
e118    142 203
e119    43  142
e120    43  233
e121    233 249
e122    12  249
e123    12  19
e124    19  210
e125    27  210
e126    27  171
e127    171 286
e128    26  286
e129    26  239
e130    4   239
e131    4   132
e132    132 246
e133    179 246
e134    86  179
e135    86  217
e136    217 281
e137    238 281
e138    230 238
e139    230 242
e140    147 242
e141    147 215
e142    177 215
e143    3   177
e144    3   133
e145    133 254
e146    36  254
e147    36  206
e148    52  206
e149    52  201
e150    201 277
e151    150 277
e152    13  150
e153    13  47
e154    47  113
e155    83  113
e156    83  174
e157    7   174
e158    7   256
e159    65  256
e160    65  123
e161    75  123
e162    75  197
e163    197 278
e164    153 278
e165    42  153
e166    42  146
e167    146 196
e168    149 196
e169    62  149
e170    62  268
e171    53  268
e172    53  115
e173    76  115
e174    76  144
e175    144 189
e176    40  189
e177    40  166
e178    72  166
e179    21  72
e180    21  162
e181    162 253
e182    50  253
e183    50  160
e184    55  160
e185    55  299
e186    102 299
e187    84  102
e188    84  156
e189    156 251
e190    23  251
e191    23  287
e192    170 287
e193    131 170
e194    14  131
e195    14  56
e196    54  56
e197    54  257
e198    257 258
e199    141 258
e200    141 192
e201    143 192
e202    140 143
e203    140 225
e204    32  225
e205    32  273
e206    70  273
e207    70  108
e208    34  108
e209    34  255
e210    255 279
e211    67  279
e212    67  261
e213    106 261
e214    29  106
e215    29  248
e216    87  248
e217    87  295
e218    79  295
e219    71  79
e220    71  112
e221    31  112
e222    31  193
e223    2   193
e224    2   98
e225    98  229
e226    117 229
e227    117 198
e228    1   198
e229    1   263
e230    263 284
e231    284 297
e232    81  297
e233    81  231
e234    231 260
e235    200 260
e236    57  200
e237    57  100
e238    18  100
e239    18  165
e240    88  165
e241    80  88
e242    80  285
e243    175 285
e244    175 274
e245    39  274
e246    39  114
e247    85  114
e248    33  85
e249    33  111
e250    111 148
e251    148 204
e252    101 204
e253    69  101
e254    69  262
e255    78  262
e256    78  184
e257    92  184
e258    92  159
e259    159 194
e260    172 194
e261    161 172
e262    161 266
e263    158 266
e264    74  158
e265    74  180
e266    137 180
e267    137 240
e268    61  240
e269    61  157
e270    157 205
e271    187 205
e272    187 199
e273    10  199
e274    10  11
e275    11  227
e276    227 288
e277    186 288
e278    134 186
e279    59  134
e280    58  59
e281    58  120
e282    120 232
e283    181 232
e284    181 226
e285    226 291
e286    154 291
e287    20  154
e288    20  169
e289    169 190
e290    121 190
e291    121 167
e292    25  167
e293    25  202
e294    37  202
e295    37  209
e296    22  209
e297    22  94
e298    94  99
e299    99  300
e300    36  158
e301    91  175
e302    208 253
e303    256 292
e304    104 176
e305    296 299
e306    20  76
e307    189 223
e308    125 225
e309    243 279
e310    52  224
e311    172 198
e312    58  147
e313    118 251
e314    290 295
e315    8   60
e316    92  176
e317    215 251
e318    134 247
e319    44  223
e320    92  278
e321    56  169
e322    133 296
e323    120 128
e324    184 255
e325    49  115
e326    96  297
e327    58  285
e328    219 260
e329    62  117
e330    2   138
e331    114 298
e332    168 236
e333    200 208
e334    9   70
e335    243 291
e336    21  182
e337    187 247
e338    143 183
e339    177 226
e340    27  124
e341    41  235
e342    176 259
e343    64  296
e344    119 266
e345    29  255
e346    17  282
e347    221 255
e348    56  280
e349    60  188
e350    221 226
e351    59  175
e352    13  124
e353    168 277
e354    112 210
e355    103 118
e356    42  192
e357    35  179
e358    203 258
e359    209 239
e360    173 212
e361    81  104
e362    55  215
e363    200 274
e364    100 232
e365    128 267
e366    117 256
e367    1   106
e368    60  65
e369    29  52
e370    88  92
e371    8   87
e372    138 164
e373    126 287
e374    42  248
e375    23  52
e376    117 279
e377    14  187
e378    140 255
e379    98  121
e380    151 268
e381    177 278
e382    145 276
e383    163 225
e384    191 229
e385    114 144
e386    187 230
e387    86  117
e388    74  125
e389    218 241
