V: 800
E: 159800
Edge_Id Vi  Vj
e1      29  543
e2      29  515
e3      303 515
e4      303 606
e5      503 606
e6      503 756
e7      18  756
e8      18  513
e9      378 513
e10     216 378
e11     40  216
e12     40  619
e13     25  619
e14     25  254
e15     254 649
e16     649 745
e17     131 745
e18     131 680
e19     396 680
e20     1   396
e21     1   132
e22     132 590
e23     235 590
e24     80  235
e25     80  262
e26     262 602
e27     375 602
e28     344 375
e29     164 344
e30     164 505
e31     505 781
e32     334 781
e33     57  334
e34     57  469
e35     469 471
e36     471 551
e37     295 551
e38     295 345
e39     158 345
e40     158 785
e41     710 785
e42     507 710
e43     337 507
e44     93  337
e45     93  181
e46     181 573
e47     197 573
e48     139 197
e49     139 620
e50     560 620
e51     433 560
e52     230 433
e53     230 493
e54     218 493
e55     218 638
e56     243 638
e57     243 787
e58     407 787
e59     305 407
e60     305 559
e61     118 559
e62     118 389
e63     240 389
e64     186 240
e65     186 797
e66     140 797
e67     140 284
e68     284 694
e69     256 694
e70     19  256
e71     19  20
e72     20  267
e73     39  267
e74     39  521
e75     119 521
e76     119 577
e77     577 714
e78     316 714
e79     316 775
e80     445 775
e81     445 701
e82     701 768
e83     697 768
e84     695 697
e85     582 695
e86     408 582
e87     408 429
e88     12  429
e89     12  495
e90     458 495
e91     28  458
e92     28  226
e93     226 663
e94     603 663
e95     603 750
e96     455 750
e97     455 748
e98     439 748
e99     439 506
e100    23  506
e101    23  481
e102    481 630
e103    180 630
e104    180 492
e105    492 609
e106    599 609
e107    228 599
e108    187 228
e109    89  187
e110    89  516
e111    516 646
e112    369 646
e113    369 479
e114    418 479
e115    222 418
e116    222 227
e117    224 227
e118    97  224
e119    97  510
e120    428 510
e121    428 720
e122    692 720
e123    578 692
e124    250 578
e125    49  250
e126    49  743
e127    287 743
e128    287 597
e129    138 597
e130    138 512
e131    238 512
e132    123 238
e133    42  123
e134    4   42
e135    4   395
e136    395 634
e137    634 640
e138    640 769
e139    529 769
e140    529 618
e141    318 618
e142    318 732
e143    617 732
e144    617 735
e145    269 735
e146    269 367
e147    312 367
e148    312 727
e149    6   727
e150    6   487
e151    487 742
e152    580 742
e153    415 580
e154    415 798
e155    170 798
e156    170 335
e157    13  335
e158    13  626
e159    496 626
e160    496 676
e161    107 676
e162    107 281
e163    281 759
e164    31  759
e165    31  584
e166    509 584
e167    162 509
e168    162 315
e169    198 315
e170    183 198
e171    183 655
e172    655 796
e173    379 796
e174    379 610
e175    134 610
e176    134 349
e177    260 349
e178    260 716
e179    708 716
e180    557 708
e181    163 557
e182    63  163
e183    63  205
e184    74  205
e185    74  360
e186    124 360
e187    124 504
e188    451 504
e189    451 588
e190    21  588
e191    21  275
e192    149 275
e193    149 225
e194    225 296
e195    296 298
e196    298 686
e197    569 686
e198    476 569
e199    201 476
e200    201 460
e201    91  460
e202    33  91
e203    10  33
e204    10  220
e205    220 359
e206    359 405
e207    376 405
e208    52  376
e209    52  613
e210    613 647
e211    3   647
e212    3   519
e213    475 519
e214    110 475
e215    110 424
e216    424 724
e217    593 724
e218    593 688
e219    501 688
e220    467 501
e221    459 467
e222    459 589
e223    589 715
e224    715 771
e225    142 771
e226    142 249
e227    249 465
e228    351 465
e229    351 728
e230    425 728
e231    8   425
e232    8   191
e233    191 251
e234    251 430
e235    430 793
e236    313 793
e237    313 398
e238    398 700
e239    393 700
e240    393 664
e241    643 664
e242    546 643
e243    319 546
e244    17  319
e245    17  511
e246    175 511
e247    150 175
e248    150 709
e249    443 709
e250    442 443
e251    442 637
e252    385 637
e253    385 739
e254    121 739
e255    121 352
e256    352 794
e257    390 794
e258    390 788
e259    621 788
e260    550 621
e261    497 550
e262    364 497
e263    364 491
e264    491 675
e265    342 675
e266    2   342
e267    2   466
e268    466 791
e269    248 791
e270    248 453
e271    453 782
e272    355 782
e273    355 758
e274    282 758
e275    282 346
e276    346 383
e277    209 383
e278    88  209
e279    88  693
e280    68  693
e281    68  323
e282    323 674
e283    286 674
e284    43  286
e285    43  719
e286    223 719
e287    100 223
e288    100 402
e289    402 526
e290    143 526
e291    82  143
e292    82  539
e293    539 761
e294    358 761
e295    358 556
e296    556 685
e297    528 685
e298    155 528
e299    155 652
e300    652 689
e301    51  689
e302    51  544
e303    161 544
e304    161 489
e305    310 489
e306    113 310
e307    113 212
e308    212 665
e309    461 665
e310    421 461
e311    215 421
e312    86  215
e313    86  644
e314    5   644
e315    5   704
e316    704 778
e317    410 778
e318    410 690
e319    77  690
e320    77  565
e321    565 777
e322    586 777
e323    242 586
e324    242 404
e325    404 432
e326    27  432
e327    27  112
e328    112 446
e329    214 446
e330    41  214
e331    9   41
e332    9   598
e333    572 598
e334    416 572
e335    176 416
e336    176 772
e337    729 772
e338    213 729
e339    213 372
e340    144 372
e341    144 563
e342    61  563
e343    61  306
e344    306 624
e345    350 624
e346    289 350
e347    289 508
e348    81  508
e349    81  422
e350    422 520
e351    314 520
e352    314 534
e353    24  534
e354    24  172
e355    172 595
e356    595 607
e357    87  607
e358    87  601
e359    311 601
e360    196 311
e361    196 199
e362    199 377
e363    362 377
e364    47  362
e365    47  321
e366    321 341
e367    341 657
e368    381 657
e369    343 381
e370    90  343
e371    90  253
e372    59  253
e373    59  725
e374    229 725
e375    229 585
e376    127 585
e377    127 548
e378    273 548
e379    273 682
e380    168 682
e381    168 766
e382    324 766
e383    324 397
e384    397 490
e385    413 490
e386    413 579
e387    406 579
e388    406 757
e389    531 757
e390    427 531
e391    427 583
e392    92  583
e393    92  721
e394    524 721
e395    524 639
e396    190 639
e397    190 662
e398    75  662
e399    30  75
e400    30  185
e401    185 774
e402    499 774
e403    285 499
e404    178 285
e405    116 178
e406    116 594
e407    594 632
e408    50  632
e409    50  272
e410    272 374
e411    374 800
e412    84  800
e413    84  263
e414    263 371
e415    208 371
e416    208 755
e417    79  755
e418    79  277
e419    277 500
e420    247 500
e421    247 322
e422    294 322
e423    156 294
e424    78  156
e425    78  763
e426    628 763
e427    37  628
e428    37  192
e429    192 211
e430    146 211
e431    146 194
e432    45  194
e433    45  726
e434    53  726
e435    53  536
e436    328 536
e437    328 656
e438    125 656
e439    125 210
e440    117 210
e441    117 231
e442    69  231
e443    69  426
e444    60  426
e445    60  270
e446    270 327
e447    152 327
e448    152 530
e449    85  530
e450    85  384
e451    384 741
e452    558 741
e453    307 558
e454    307 786
e455    786 792
e456    666 792
e457    571 666
e458    448 571
e459    94  448
e460    94  280
e461    280 525
e462    387 525
e463    70  387
e464    70  488
e465    363 488
e466    363 366
e467    292 366
e468    292 615
e469    239 615
e470    239 767
e471    98  767
e472    98  255
e473    22  255
e474    22  780
e475    95  780
e476    95  749
e477    252 749
e478    252 386
e479    34  386
e480    34  435
e481    133 435
e482    38  133
e483    38  671
e484    654 671
e485    498 654
e486    498 612
e487    441 612
e488    441 687
e489    151 687
e490    151 486
e491    308 486
e492    308 320
e493    166 320
e494    126 166
e495    126 651
e496    257 651
e497    257 299
e498    299 414
e499    394 414
e500    394 575
e501    478 575
e502    478 762
e503    338 762
e504    338 444
e505    444 660
e506    279 660
e507    279 770
e508    576 770
e509    160 576
e510    160 631
e511    631 673
e512    159 673
e513    159 799
e514    629 799
e515    102 629
e516    102 236
e517    236 570
e518    309 570
e519    234 309
e520    173 234
e521    58  173
e522    58  670
e523    447 670
e524    447 713
e525    106 713
e526    106 388
e527    388 733
e528    145 733
e529    145 698
e530    147 698
e531    147 148
e532    137 148
e533    137 356
e534    356 409
e535    409 658
e536    523 658
e537    15  523
e538    15  411
e539    411 677
e540    669 677
e541    288 669
e542    288 691
e543    182 691
e544    182 738
e545    542 738
e546    188 542
e547    188 419
e548    373 419
e549    373 703
e550    627 703
e551    96  627
e552    96  552
e553    157 552
e554    157 417
e555    264 417
e556    264 304
e557    14  304
e558    14  683
e559    103 683
e560    103 518
e561    518 752
e562    189 752
e563    189 600
e564    450 600
e565    339 450
e566    290 339
e567    290 353
e568    353 382
e569    336 382
e570    336 717
e571    434 717
e572    434 438
e573    438 449
e574    449 494
e575    171 494
e576    16  171
e577    16  274
e578    274 561
e579    561 712
e580    541 712
e581    177 541
e582    177 650
e583    566 650
e584    115 566
e585    115 483
e586    109 483
e587    72  109
e588    72  237
e589    111 237
e590    111 532
e591    522 532
e592    348 522
e593    348 399
e594    333 399
e595    265 333
e596    265 587
e597    456 587
e598    456 667
e599    463 667
e600    463 567
e601    567 783
e602    347 783
e603    271 347
e604    271 765
e605    454 765
e606    454 533
e607    154 533
e608    73  154
e609    73  258
e610    193 258
e611    104 193
e612    104 784
e613    365 784
e614    365 574
e615    71  574
e616    71  326
e617    326 754
e618    153 754
e619    153 760
e620    537 760
e621    537 540
e622    66  540
e623    66  169
e624    169 472
e625    331 472
e626    301 331
e627    56  301
e628    56  625
e629    11  625
e630    11  633
e631    64  633
e632    64  706
e633    436 706
e634    268 436
e635    114 268
e636    114 241
e637    241 420
e638    259 420
e639    184 259
e640    130 184
e641    130 179
e642    179 645
e643    547 645
e644    547 642
e645    266 642
e646    266 368
e647    368 623
e648    623 795
e649    357 795
e650    135 357
e651    135 202
e652    202 711
e653    554 711
e654    120 554
e655    120 354
e656    354 470
e657    470 549
e658    549 581
e659    400 581
e660    400 668
e661    108 668
e662    108 514
e663    514 776
e664    129 776
e665    129 622
e666    535 622
e667    477 535
e668    477 773
e669    740 773
e670    48  740
e671    48  67
e672    67  332
e673    54  332
e674    54  300
e675    300 330
e676    330 718
e677    44  718
e678    32  44
e679    32  340
e680    340 659
e681    517 659
e682    482 517
e683    217 482
e684    217 723
e685    462 723
e686    329 462
e687    55  329
e688    55  370
e689    302 370
e690    302 702
e691    678 702
e692    641 678
e693    174 641
e694    174 661
e695    661 753
e696    36  753
e697    36  736
e698    35  736
e699    35  141
e700    141 261
e701    7   261
e702    7   591
e703    591 648
e704    200 648
e705    46  200
e706    46  457
e707    457 672
e708    562 672
e709    76  562
e710    76  707
e711    707 744
e712    568 744
e713    122 568
e714    122 278
e715    278 431
e716    361 431
e717    361 592
e718    203 592
e719    203 779
e720    391 779
e721    391 468
e722    99  468
e723    99  596
e724    596 699
e725    101 699
e726    101 734
e727    474 734
e728    474 484
e729    464 484
e730    440 464
e731    136 440
e732    136 219
e733    204 219
e734    204 553
e735    62  553
e736    62  473
e737    473 730
e738    527 730
e739    293 527
e740    293 401
e741    128 401
e742    128 403
e743    83  403
e744    83  246
e745    246 722
e746    722 731
e747    611 731
e748    485 611
e749    317 485
e750    317 608
e751    608 746
e752    746 751
e753    555 751
e754    221 555
e755    206 221
e756    206 380
e757    283 380
e758    283 538
e759    538 636
e760    297 636
e761    297 392
e762    392 452
e763    26  452
e764    26  480
e765    423 480
e766    195 423
e767    195 502
e768    502 789
