V: 900
E: 20228
Edge_Id Vi  Vj
e1      384 532
e2      108 384
e3      108 197
e4      197 531
e5      66  531
e6      66  112
e7      112 375
e8      375 801
e9      660 801
e10     660 789
e11     789 790
e12     249 790
e13     249 777
e14     223 777
e15     223 368
e16     111 368
e17     111 128
e18     128 487
e19     487 847
e20     383 847
e21     282 383
e22     282 456
e23     117 456
e24     117 333
e25     333 825
e26     825 844
e27     380 844
e28     30  380
e29     30  785
e30     267 785
e31     57  267
e32     57  736
e33     76  736
e34     76  156
e35     156 355
e36     355 648
e37     648 663
e38     663 783
e39     759 783
e40     619 759
e41     134 619
e42     73  134
e43     73  276
e44     258 276
e45     258 511
e46     511 877
e47     238 877
e48     83  238
e49     83  669
e50     578 669
e51     578 898
e52     5   898
e53     5   140
e54     140 356
e55     356 579
e56     579 750
e57     405 750
e58     174 405
e59     174 769
e60     210 769
e61     210 704
e62     388 704
e63     331 388
e64     317 331
e65     56  317
e66     56  894
e67     451 894
e68     451 776
e69     103 776
e70     103 863
e71     295 863
e72     295 799
e73     391 799
e74     391 516
e75     516 633
e76     26  633
e77     26  788
e78     788 809
e79     809 821
e80     607 821
e81     607 668
e82     427 668
e83     311 427
e84     72  311
e85     72  605
e86     605 662
e87     662 741
e88     703 741
e89     195 703
e90     195 715
e91     254 715
e92     254 850
e93     51  850
e94     51  187
e95     187 582
e96     222 582
e97     222 883
e98     141 883
e99     141 327
e100    327 480
e101    480 861
e102    598 861
e103    320 598
e104    320 693
e105    693 870
e106    196 870
e107    196 767
e108    481 767
e109    481 857
e110    87  857
e111    87  370
e112    370 835
e113    54  835
e114    54  75
e115    75  554
e116    554 650
e117    524 650
e118    157 524
e119    142 157
e120    142 858
e121    292 858
e122    292 613
e123    613 622
e124    207 622
e125    207 550
e126    550 787
e127    534 787
e128    534 768
e129    278 768
e130    40  278
e131    40  606
e132    606 833
e133    492 833
e134    396 492
e135    193 396
e136    193 581
e137    308 581
e138    308 745
e139    745 773
e140    773 900
e141    542 900
e142    542 649
e143    538 649
e144    209 538
e145    209 665
e146    569 665
e147    244 569
e148    244 625
e149    455 625
e150    149 455
e151    149 751
e152    751 830
e153    673 830
e154    565 673
e155    565 878
e156    823 878
e157    706 823
e158    544 706
e159    101 544
e160    79  101
e161    79  183
e162    183 879
e163    242 879
e164    242 548
e165    548 559
e166    559 764
e167    637 764
e168    637 653
e169    20  653
e170    20  506
e171    506 837
e172    732 837
e173    465 732
e174    153 465
e175    153 615
e176    615 851
e177    689 851
e178    116 689
e179    116 286
e180    286 326
e181    147 326
e182    147 803
e183    236 803
e184    236 541
e185    541 755
e186    340 755
e187    340 679
e188    121 679
e189    121 188
e190    188 275
e191    275 323
e192    67  323
e193    67  874
e194    746 874
e195    115 746
e196    115 749
e197    179 749
e198    179 585
e199    585 885
e200    166 885
e201    166 501
e202    358 501
e203    358 366
e204    366 563
e205    338 563
e206    17  338
e207    17  80
e208    80  89
e209    89  300
e210    300 726
e211    709 726
e212    289 709
e213    289 460
e214    460 547
e215    458 547
e216    21  458
e217    21  32
e218    32  671
e219    199 671
e220    90  199
e221    90  610
e222    28  610
e223    28  181
e224    123 181
e225    123 445
e226    445 846
e227    6   846
e228    6   58
e229    58  97
e230    97  229
e231    41  229
e232    41  638
e233    527 638
e234    164 527
e235    3   164
e236    3   63
e237    53  63
e238    53  744
e239    250 744
e240    250 533
e241    306 533
e242    306 656
e243    656 739
e244    132 739
e245    132 203
e246    203 438
e247    438 642
e248    231 642
e249    231 337
e250    152 337
e251    152 374
e252    4   374
e253    4   701
e254    367 701
e255    148 367
e256    148 869
e257    404 869
e258    52  404
e259    52  608
e260    608 832
e261    43  832
e262    43  856
e263    543 856
e264    453 543
e265    422 453
e266    422 478
e267    55  478
e268    55  824
e269    518 824
e270    218 518
e271    218 661
e272    647 661
e273    647 781
e274    92  781
e275    92  886
e276    440 886
e277    440 893
e278    39  893
e279    39  145
e280    145 855
e281    357 855
e282    100 357
e283    100 515
e284    139 515
e285    22  139
e286    22  708
e287    694 708
e288    694 797
e289    591 797
e290    466 591
e291    466 713
e292    572 713
e293    469 572
e294    469 872
e295    118 872
e296    118 620
e297    620 814
e298    583 814
e299    351 583
e300    351 696
e301    696 840
e302    798 840
e303    798 865
e304    802 865
e305    546 802
e306    504 546
