V: 500
E: 6238
Edge_Id Vi  Vj
e1      64  142
e2      142 191
e3      191 484
e4      263 484
e5      263 445
e6      365 445
e7      172 365
e8      169 172
e9      67  169
e10     67  389
e11     342 389
e12     234 342
e13     234 490
e14     110 490
e15     110 456
e16     4   456
e17     4   406
e18     406 441
e19     139 441
e20     139 150
e21     150 450
e22     450 478
e23     147 478
e24     147 464
e25     329 464
e26     329 495
e27     185 495
e28     157 185
e29     59  157
e30     59  168
e31     168 334
e32     36  334
e33     36  79
e34     79  459
e35     437 459
e36     257 437
e37     257 416
e38     153 416
e39     153 458
e40     216 458
e41     216 480
e42     91  480
e43     91  233
e44     76  233
e45     76  422
e46     8   422
e47     8   125
e48     125 159
e49     159 487
e50     155 487
e51     155 324
e52     127 324
e53     127 407
e54     171 407
e55     171 452
e56     371 452
e57     368 371
e58     94  368
e59     94  298
e60     49  298
e61     49  180
e62     180 363
e63     166 363
e64     70  166
e65     70  241
e66     241 397
e67     356 397
e68     356 358
e69     358 398
e70     308 398
e71     308 420
e72     319 420
e73     116 319
e74     116 412
e75     226 412
e76     97  226
e77     97  237
e78     136 237
e79     27  136
e80     27  340
e81     74  340
e82     74  104
e83     72  104
e84     72  126
e85     126 277
e86     182 277
e87     182 401
e88     58  401
e89     58  137
e90     137 165
e91     165 453
e92     117 453
e93     56  117
e94     30  56
e95     30  449
e96     68  449
e97     68  443
e98     408 443
e99     207 408
e100    190 207
e101    190 439
e102    375 439
e103    375 435
e104    46  435
e105    46  141
e106    52  141
e107    52  63
e108    63  77
e109    77  114
e110    60  114
e111    60  471
e112    466 471
e113    107 466
e114    107 483
e115    204 483
e116    11  204
e117    11  353
e118    294 353
e119    229 294
e120    229 461
e121    146 461
e122    48  146
e123    48  269
e124    118 269
e125    118 203
e126    203 364
e127    61  364
e128    61  186
e129    57  186
e130    57  115
e131    115 457
e132    122 457
e133    65  122
e134    65  197
e135    197 361
e136    361 431
e137    193 431
e138    193 430
e139    299 430
e140    299 360
e141    200 360
e142    200 367
e143    85  367
e144    85  338
e145    55  338
e146    55  221
e147    221 350
e148    262 350
e149    89  262
e150    89  468
e151    109 468
e152    109 366
e153    167 366
e154    167 419
e155    243 419
e156    243 399
e157    5   399
e158    5   469
e159    469 499
e160    7   499
e161    7   374
e162    374 498
e163    209 498
e164    209 316
e165    119 316
e166    119 223
e167    223 279
e168    279 415
e169    415 447
e170    314 447
e171    33  314
e172    33  265
e173    249 265
e174    249 253
e175    253 382
e176    267 382
e177    267 440
e178    261 440
e179    82  261
e180    82  206
e181    206 281
e182    131 281
e183    35  131
e184    35  446
e185    160 446
e186    160 313
e187    292 313
e188    292 328
e189    328 472
e190    215 472
e191    215 488
e192    403 488
e193    394 403
e194    121 394
e195    121 135
e196    135 286
e197    286 491
e198    381 491
e199    381 479
e200    462 479
e201    305 462
e202    75  305
e203    75  250
e204    250 251
e205    251 355
e206    355 470
e207    105 470
e208    105 391
e209    124 391
e210    124 149
e211    28  149
e212    28  45
e213    45  219
e214    12  219
e215    12  66
e216    66  274
e217    274 379
e218    379 424
e219    424 497
e220    18  497
e221    18  345
e222    198 345
e223    83  198
e224    40  83
e225    40  103
e226    103 465
e227    192 465
e228    192 222
e229    222 288
e230    288 333
e231    333 451
e232    173 451
e233    173 377
e234    88  377
e235    73  88
e236    16  73
e237    16  351
e238    95  351
e239    95  414
e240    15  414
e241    15  311
e242    300 311
e243    287 300
e244    287 343
e245    81  343
e246    81  224
e247    71  224
e248    71  289
e249    289 395
e250    29  395
e251    29  210
e252    210 271
e253    271 428
e254    393 428
e255    183 393
e256    99  183
e257    99  321
e258    21  321
e259    21  199
e260    144 199
e261    87  144
e262    87  242
e263    44  242
e264    44  335
e265    96  335
e266    96  426
e267    425 426
e268    290 425
e269    78  290
e270    78  307
e271    208 307
e272    208 348
e273    278 348
e274    218 278
e275    31  218
e276    31  413
e277    230 413
e278    230 244
e279    244 380
e280    2   380
e281    2   396
e282    238 396
e283    238 433
e284    54  433
e285    54  140
e286    140 344
e287    247 344
e288    179 247
e289    179 293
e290    293 454
e291    347 454
e292    270 347
e293    170 270
e294    170 264
e295    108 264
e296    108 248
e297    248 301
e298    50  301
e299    50  369
e300    228 369
e301    220 228
e302    220 387
e303    387 448
e304    376 448
e305    376 438
e306    296 438
e307    296 402
e308    177 402
e309    130 177
e310    41  130
e311    41  326
e312    256 326
e313    132 256
e314    132 388
e315    239 388
e316    174 239
e317    174 423
e318    423 467
e319    383 467
e320    383 482
e321    123 482
e322    43  123
e323    43  258
e324    51  258
e325    51  163
e326    163 373
e327    231 373
e328    231 317
e329    317 475
e330    460 475
e331    1   460
e332    1   145
e333    112 145
e334    112 188
e335    188 349
e336    275 349
e337    272 275
e338    152 272
e339    152 240
e340    26  240
e341    26  500
e342    297 500
e343    297 485
e344    282 485
e345    84  282
e346    23  84
e347    23  211
e348    211 325
e349    213 325
e350    213 486
e351    194 486
e352    62  194
e353    62  432
e354    86  432
e355    86  309
e356    309 463
e357    276 463
e358    143 276
e359    143 214
e360    214 306
e361    306 473
e362    255 473
e363    129 255
e364    129 493
e365    102 493
e366    102 295
e367    128 295
e368    128 284
e369    158 284
e370    158 362
e371    42  362
e372    13  42
e373    13  312
e374    10  312
e375    10  176
e376    176 410
e377    217 410
e378    90  217
e379    90  245
e380    245 474
e381    232 474
e382    138 232
e383    80  138
e384    3   80
e385    3   291
e386    260 291
e387    260 386
e388    201 386
e389    201 266
e390    98  266
e391    98  133
e392    133 323
e393    322 323
e394    156 322
e395    156 195
e396    134 195
e397    134 315
e398    14  315
e399    14  492
e400    113 492
e401    113 429
e402    280 429
e403    189 280
e404    189 434
e405    318 434
e406    318 481
e407    310 481
e408    310 405
e409    9   405
e410    9   17
e411    17  38
e412    38  175
e413    175 444
e414    339 444
e415    303 339
e416    303 477
e417    404 477
e418    354 404
e419    162 354
e420    162 336
e421    336 421
e422    421 476
e423    390 476
