V: 500
E: 62375
Edge_Id Vi  Vj
e1      446 469
e2      397 469
e3      90  397
e4      90  398
e5      351 398
e6      299 351
e7      40  299
e8      40  458
e9      436 458
e10     293 436
e11     293 423
e12     229 423
e13     39  229
e14     39  157
e15     24  157
e16     24  409
e17     409 478
e18     349 478
e19     32  349
e20     32  235
e21     209 235
e22     209 287
e23     287 395
e24     8   395
e25     8   479
e26     479 483
e27     135 483
e28     135 222
e29     150 222
e30     150 275
e31     50  275
e32     50  93
e33     19  93
e34     19  37
e35     37  89
e36     89  371
e37     207 371
e38     207 282
e39     163 282
e40     163 314
e41     77  314
e42     77  347
e43     347 415
e44     131 415
e45     131 221
e46     164 221
e47     164 339
e48     339 489
e49     181 489
e50     147 181
e51     147 345
e52     345 422
e53     108 422
e54     108 316
e55     316 355
e56     111 355
e57     111 226
e58     226 306
e59     306 449
e60     80  449
e61     80  149
e62     149 447
e63     343 447
e64     343 399
e65     67  399
e66     67  393
e67     393 426
e68     407 426
e69     76  407
e70     76  337
e71     337 442
e72     134 442
e73     134 493
e74     137 493
e75     137 258
e76     258 394
e77     94  394
e78     94  386
e79     350 386
e80     107 350
e81     107 170
e82     170 301
e83     190 301
e84     46  190
e85     46  254
e86     173 254
e87     173 471
e88     228 471
e89     228 346
e90     302 346
e91     120 302
e92     47  120
e93     47  177
e94     177 396
e95     236 396
e96     236 431
e97     139 431
e98     79  139
e99     79  239
e100    220 239
e101    220 369
e102    369 480
e103    319 480
e104    35  319
e105    35  333
e106    333 433
e107    250 433
e108    185 250
e109    166 185
e110    166 237
e111    237 259
e112    252 259
e113    4   252
e114    4   22
e115    11  22
e116    11  113
e117    113 187
e118    118 187
e119    118 188
e120    132 188
e121    132 155
e122    44  155
e123    44  318
e124    318 429
e125    88  429
e126    88  216
e127    216 297
e128    249 297
e129    249 373
e130    357 373
e131    332 357
e132    332 402
e133    175 402
e134    72  175
e135    72  467
e136    55  467
e137    55  106
e138    106 288
e139    288 315
e140    315 372
e141    69  372
e142    69  119
e143    119 264
e144    264 325
e145    12  325
e146    12  87
e147    87  213
e148    2   213
e149    2   482
e150    81  482
e151    81  270
e152    66  270
e153    66  86
e154    86  140
e155    140 255
e156    255 317
e157    112 317
e158    64  112
e159    64  133
e160    84  133
e161    84  203
e162    203 217
e163    16  217
e164    16  103
e165    103 202
e166    202 466
e167    201 466
e168    201 383
e169    281 383
e170    138 281
e171    138 381
e172    279 381
e173    268 279
e174    126 268
e175    3   126
e176    3   430
e177    430 448
e178    448 464
e179    49  464
e180    49  424
e181    385 424
e182    168 385
e183    168 403
e184    27  403
e185    27  232
e186    193 232
e187    145 193
e188    70  145
e189    70  465
e190    124 465
e191    124 411
e192    327 411
