V: 300
E: 2243
Edge_Id Vi  Vj
e1      12  137
e2      12  40
e3      40  200
e4      16  200
e5      16  294
e6      62  294
e7      62  205
e8      98  205
e9      11  98
e10     11  76
e11     76  133
e12     9   133
e13     9   266
e14     262 266
e15     262 276
e16     36  276
e17     36  154
e18     154 199
e19     132 199
e20     132 166
e21     166 241
e22     3   241
e23     3   136
e24     21  136
e25     21  74
e26     74  116
e27     93  116
e28     93  130
e29     23  130
e30     23  246
e31     44  246
e32     44  108
e33     108 236
e34     208 236
e35     82  208
e36     82  247
e37     2   247
e38     2   19
e39     19  261
e40     51  261
e41     15  51
e42     15  256
e43     78  256
e44     39  78
e45     39  111
e46     25  111
e47     25  252
e48     252 280
e49     13  280
e50     13  263
e51     218 263
e52     6   218
e53     6   257
e54     128 257
e55     128 286
e56     284 286
e57     284 292
e58     222 292
e59     222 275
e60     61  275
e61     61  92
e62     90  92
e63     90  245
e64     202 245
e65     121 202
e66     121 197
e67     197 250
e68     249 250
e69     49  249
e70     49  281
e71     27  281
e72     27  191
e73     191 248
e74     86  248
e75     86  206
e76     110 206
e77     10  110
e78     10  147
e79     22  147
e80     22  219
e81     140 219
e82     140 201
e83     99  201
e84     99  168
e85     68  168
e86     60  68
e87     60  87
e88     87  153
e89     153 174
e90     174 243
e91     224 243
e92     144 224
e93     144 297
e94     4   297
e95     4   18
e96     18  53
e97     53  270
e98     54  270
e99     54  186
e100    186 193
e101    79  193
e102    79  295
e103    283 295
e104    52  283
e105    52  268
e106    268 299
e107    63  299
e108    63  242
e109    194 242
e110    14  194
e111    14  251
e112    165 251
e113    117 165
e114    117 264
e115    55  264
e116    55  233
e117    138 233
e118    138 272
e119    81  272
e120    81  265
e121    232 265
e122    141 232
e123    141 267
e124    109 267
e125    33  109
e126    33  204
e127    204 220
e128    134 220
e129    134 298
e130    30  298
e131    30  66
e132    66  67
e133    67  100
e134    100 184
e135    151 184
e136    101 151
e137    5   101
e138    5   7
e139    7   238
e140    238 296
e141    182 296
e142    114 182
e143    89  114
e144    89  158
e145    69  158
e146    69  282
e147    123 282
e148    105 123
e149    105 125
e150    125 160
e151    160 221
e152    221 225
e153    112 225
e154    112 163
e155    148 163
e156    148 229
e157    203 229
e158    84  203
e159    84  149
e160    96  149
e161    96  127
e162    127 195
e163    195 300
e164    88  300
e165    88  215
e166    178 215
e167    164 178
e168    164 289
e169    244 289
e170    120 244
e171    47  120
e172    47  59
e173    59  228
e174    41  228
e175    41  239
e176    139 239
e177    139 231
e178    209 231
e179    20  209
e180    20  146
e181    46  146
e182    29  46
e183    29  227
e184    196 227
e185    196 288
e186    73  288
e187    64  73
e188    64  171
e189    26  171
e190    26  223
e191    119 223
e192    24  119
e193    24  32
e194    32  293
e195    279 293
e196    71  279
e197    71  170
e198    156 170
e199    97  156
e200    97  287
e201    145 287
e202    145 234
e203    180 234
e204    180 198
e205    106 198
e206    106 173
e207    95  173
e208    58  95
e209    58  135
e210    135 185
e211    8   185
e212    8   258
e213    124 258
e214    77  124
e215    77  102
e216    102 235
e217    115 235
e218    115 126
e219    126 277
e220    183 277
e221    183 255
e222    255 285
e223    113 285
e224    113 240
e225    35  240
e226    35  192
e227    192 260
e228    176 260
e229    43  176
e230    43  211
e231    129 211
e232    129 157
e233    157 259
e234    28  259
e235    28  56
e236    56  214
e237    175 214
e238    175 179
e239    161 179
e240    161 278
e241    80  278
e242    42  80
e243    42  169
e244    169 273
e245    190 273
e246    172 190
e247    57  172
e248    57  104
e249    50  104
e250    50  269
e251    122 269
e252    122 143
e253    143 189
e254    70  189
e255    70  150
e256    91  150
e257    91  155
e258    118 155
e259    118 188
e260    188 226
e261    45  226
e262    31  45
