V: 600
E: 125790
Edge_Id Vi  Vj
e1      198 437
e2      198 233
e3      233 551
e4      516 551
e5      395 516
e6      395 528
e7      19  528
e8      19  30
e9      30  288
e10     288 502
e11     450 502
e12     450 527
e13     155 527
e14     155 295
e15     295 369
e16     369 492
e17     161 492
e18     161 262
e19     262 562
e20     53  562
e21     53  142
e22     142 312
e23     312 380
e24     174 380
e25     146 174
e26     146 301
e27     301 412
e28     34  412
e29     34  134
e30     74  134
e31     74  491
e32     452 491
e33     200 452
e34     200 271
e35     271 413
e36     413 510
e37     485 510
e38     305 485
e39     37  305
e40     37  423
e41     297 423
e42     297 420
e43     89  420
e44     89  171
e45     57  171
e46     57  519
e47     518 519
e48     490 518
e49     141 490
e50     141 506
e51     448 506
e52     160 448
e53     160 591
e54     108 591
e55     84  108
e56     84  486
e57     329 486
e58     55  329
e59     55  367
e60     367 398
e61     398 560
e62     475 560
e63     475 507
e64     223 507
e65     223 487
e66     87  487
e67     87  484
e68     95  484
e69     95  522
e70     32  522
e71     32  534
e72     26  534
e73     26  35
e74     35  270
e75     106 270
e76     106 340
e77     334 340
e78     48  334
e79     48  183
e80     183 387
e81     219 387
e82     92  219
e83     92  309
e84     309 541
e85     360 541
e86     360 496
e87     488 496
e88     405 488
e89     405 589
e90     22  589
e91     22  316
e92     316 593
e93     456 593
e94     230 456
e95     181 230
e96     181 473
e97     472 473
e98     180 472
e99     180 514
e100    3   514
e101    3   554
e102    333 554
e103    2   333
e104    2   345
e105    83  345
e106    83  508
e107    118 508
e108    118 493
e109    66  493
e110    66  123
e111    123 323
e112    145 323
e113    145 341
e114    286 341
e115    88  286
e116    88  532
e117    255 532
e118    255 585
e119    45  585
e120    45  107
e121    107 432
e122    236 432
e123    236 363
e124    166 363
e125    60  166
e126    60  424
e127    310 424
e128    261 310
e129    111 261
e130    111 399
e131    272 399
e132    4   272
e133    4   29
e134    29  102
e135    80  102
e136    80  321
e137    321 457
e138    457 513
e139    184 513
e140    184 434
e141    121 434
e142    101 121
e143    101 192
e144    192 386
e145    154 386
e146    154 515
e147    298 515
e148    254 298
e149    109 254
e150    109 465
e151    31  465
e152    31  259
e153    259 303
e154    278 303
e155    229 278
e156    229 240
e157    240 595
e158    24  595
e159    14  24
e160    14  187
e161    187 572
e162    396 572
e163    85  396
e164    85  521
e165    428 521
e166    374 428
e167    164 374
e168    164 226
e169    135 226
e170    135 582
e171    347 582
e172    69  347
e173    69  584
e174    520 584
e175    157 520
e176    157 443
e177    443 578
e178    315 578
e179    238 315
e180    238 558
e181    282 558
e182    282 495
e183    495 530
e184    419 530
e185    56  419
e186    56  566
e187    566 580
e188    569 580
e189    477 569
e190    208 477
e191    208 436
e192    113 436
e193    113 594
e194    330 594
e195    165 330
e196    165 466
e197    466 480
e198    173 480
e199    81  173
e200    81  266
