V: 500
E: 24950
Edge_Id Vi  Vj
e1      31  149
e2      149 449
e3      28  449
e4      28  194
e5      30  194
e6      25  30
e7      25  121
e8      121 304
e9      69  304
e10     69  125
e11     125 368
e12     48  368
e13     48  365
e14     95  365
e15     95  445
e16     411 445
e17     91  411
e18     91  372
e19     20  372
e20     20  476
e21     93  476
e22     93  129
e23     6   129
e24     6   470
e25     397 470
e26     162 397
e27     162 315
e28     188 315
e29     188 355
e30     128 355
e31     112 128
e32     112 440
e33     262 440
e34     41  262
e35     41  340
e36     90  340
e37     45  90
e38     45  169
e39     169 334
e40     104 334
e41     104 358
e42     171 358
e43     171 349
e44     349 357
e45     309 357
e46     309 321
e47     156 321
e48     15  156
e49     15  144
e50     144 159
e51     159 347
e52     256 347
e53     256 435
e54     50  435
e55     50  163
e56     163 360
e57     236 360
e58     37  236
e59     37  303
e60     303 417
e61     23  417
e62     23  263
e63     92  263
e64     92  221
e65     221 390
e66     240 390
e67     240 494
e68     406 494
e69     318 406
e70     318 481
e71     36  481
e72     36  307
e73     122 307
e74     122 210
e75     79  210
e76     54  79
e77     54  382
e78     142 382
e79     142 446
e80     338 446
e81     338 456
e82     182 456
e83     182 436
e84     185 436
e85     185 250
e86     250 286
e87     286 469
e88     206 469
e89     206 375
e90     375 429
e91     290 429
e92     35  290
e93     35  38
e94     38  273
e95     251 273
e96     251 480
e97     255 480
e98     255 444
e99     189 444
e100    189 359
e101    359 498
e102    27  498
e103    27  78
e104    78  391
e105    293 391
e106    84  293
e107    84  141
e108    141 374
e109    124 374
e110    124 425
e111    181 425
e112    181 373
e113    173 373
e114    173 362
e115    362 484
e116    116 484
e117    116 201
e118    201 462
e119    98  462
e120    98  442
e121    53  442
e122    53  232
e123    19  232
e124    19  265
e125    265 277
e126    277 464
e127    385 464
e128    385 401
e129    284 401
e130    205 284
e131    205 331
e132    63  331
e133    7   63
e134    7   123
e135    123 127
e136    127 343
e137    176 343
e138    176 314
e139    243 314
e140    80  243
e141    80  174
e142    73  174
e143    73  274
e144    274 424
e145    424 492
e146    177 492
e147    177 245
e148    245 325
e149    42  325
e150    42  327
e151    327 472
e152    117 472
e153    67  117
e154    67  342
e155    320 342
e156    94  320
e157    94  133
e158    3   133
e159    3   266
e160    179 266
e161    75  179
e162    75  329
e163    246 329
e164    157 246
e165    96  157
e166    96  207
e167    207 447
e168    33  447
e169    33  419
e170    237 419
e171    4   237
e172    4   371
e173    158 371
e174    72  158
e175    72  224
e176    224 352
e177    235 352
e178    196 235
e179    192 196
e180    192 298
e181    298 430
e182    113 430
e183    113 231
e184    178 231
e185    178 427
e186    426 427
e187    402 426
e188    271 402
e189    166 271
e190    166 339
e191    339 400
e192    400 466
e193    132 466
e194    88  132
e195    1   88
e196    1   110
e197    110 280
e198    167 280
e199    164 167
e200    152 164
e201    152 326
e202    204 326
e203    103 204
e204    103 301
e205    301 332
e206    229 332
e207    229 377
e208    99  377
e209    99  485
e210    241 485
e211    241 381
e212    134 381
e213    134 473
e214    341 473
e215    317 341
e216    317 407
e217    407 423
e218    380 423
e219    380 489
e220    389 489
e221    18  389
e222    18  306
e223    302 306
e224    29  302
e225    29  388
e226    364 388
e227    106 364
e228    106 239
e229    44  239
e230    44  58
e231    58  70
e232    70  387
e233    249 387
e234    146 249
e235    146 275
e236    275 378
e237    153 378
e238    153 467
e239    234 467
e240    57  234
e241    57  282
e242    242 282
e243    242 396
e244    114 396
e245    114 131
e246    131 319
e247    195 319
e248    195 244
e249    244 453
e250    215 453
e251    10  215
e252    10  17
e253    17  493
e254    218 493
e255    218 490
e256    199 490
e257    130 199
e258    51  130
e259    51  431
e260    13  431
e261    13  405
e262    323 405
e263    66  323
e264    66  107
e265    76  107
e266    76  450
e267    197 450
e268    197 254
e269    89  254
e270    89  267
e271    267 457
e272    457 496
e273    136 496
e274    136 479
e275    351 479
e276    283 351
e277    140 283
e278    43  140
e279    43  47
e280    47  135
e281    135 260
e282    260 415
e283    296 415
e284    100 296
e285    100 386
e286    97  386
e287    97  499
e288    147 499
e289    147 454
e290    448 454
e291    55  448
e292    55  463
e293    202 463
e294    202 276
e295    14  276
e296    14  395
e297    209 395
e298    209 497
e299    398 497
e300    168 398
e301    168 225
e302    225 227
e303    227 346
e304    83  346
e305    83  108
e306    60  108
e307    60  288
e308    126 288
e309    126 299
e310    259 299
e311    259 483
e312    394 483
e313    394 408
e314    65  408
e315    65  238
e316    238 370
e317    26  370
e318    26  61
e319    61  85
e320    85  170
e321    170 410
e322    68  410
e323    68  491
e324    353 491
e325    9   353
e326    9   253
e327    87  253
e328    87  300
e329    300 413
e330    247 413
e331    247 316
e332    102 316
e333    102 486
e334    228 486
e335    77  228
e336    77  270
e337    46  270
e338    46  160
e339    160 366
e340    324 366
e341    154 324
e342    154 203
e343    8   203
e344    8   137
e345    137 294
e346    32  294
e347    32  379
e348    379 404
e349    49  404
e350    49  369
e351    330 369
e352    216 330
e353    40  216
e354    40  187
e355    187 212
e356    212 451
e357    337 451
e358    337 416
e359    416 477
e360    155 477
e361    119 155
e362    119 233
e363    233 487
e364    433 487
e365    393 433
e366    257 393
e367    180 257
e368    150 180
e369    62  150
e370    62  161
e371    161 175
e372    175 432
e373    226 432
e374    226 384
e375    2   384
e376    2   139
e377    59  139
e378    59  399
e379    101 399
e380    22  101
e381    22  403
e382    217 403
e383    193 217
e384    193 367
e385    363 367
e386    222 363
e387    222 348
e388    348 439
e389    11  439
e390    11  272
e391    269 272
e392    64  269
e393    64  82
e394    82  198
e395    52  198
e396    52  474
e397    305 474
e398    305 333
e399    138 333
e400    138 495
e401    475 495
e402    291 475
e403    291 312
e404    295 312
e405    219 295
e406    219 335
e407    335 422
e408    409 422
e409    278 409
e410    24  278
e411    24  500
e412    268 500
e413    268 468
e414    200 468
e415    109 200
e416    109 230
e417    115 230
e418    115 220
e419    220 428
e420    428 438
e421    289 438
e422    289 458
e423    190 458
e424    190 297
e425    81  297
e426    81  111
e427    111 488
e428    421 488
e429    313 421
e430    313 441
e431    56  441
e432    56  376
e433    376 482
e434    145 482
e435    145 434
e436    172 434
e437    172 354
e438    184 354
e439    184 350
e440    264 350
e441    264 412
e442    412 460
e443    344 460
e444    344 437
e445    285 437
e446    285 459
e447    459 461
e448    310 461
e449    310 443
e450    418 443
e451    418 452
e452    336 452
e453    118 336
e454    118 223
e455    213 223
e456    213 392
e457    21  392
e458    21  311
e459    191 311
e460    148 191
e461    148 465
e462    414 465
e463    248 414
e464    86  248
e465    86  258
e466    151 258
e467    151 211
e468    74  211
e469    74  361
e470    356 361
e471    208 356
e472    208 455
e473    420 455
e474    328 420
e475    292 328
e476    143 292
e477    143 281
e478    165 281
e479    165 279
e480    279 383
e481    183 383
e482    120 183
e483    120 287
e484    34  287
e485    34  345
e486    186 345
e487    186 252
e488    5   252
e489    5   471
e490    261 471
e491    261 322
e492    71  322
e493    71  105
e494    105 308
e495    12  308
e496    12  478
e497    16  478
e498    16  214
e499    39  214
e500    14  345
e501    186 316
e502    59  199
e503    55  474
e504    101 267
e505    174 430
e506    361 459
e507    240 256
e508    270 332
e509    17  237
e510    27  470
e511    88  422
e512    230 425
e513    22  48
e514    120 340
e515    13  255
e516    80  99
e517    72  218
e518    289 321
e519    210 281
e520    252 345
e521    368 439
e522    194 218
e523    397 426
e524    131 359
e525    53  75
e526    242 470
e527    221 488
e528    258 395
e529    274 456
e530    37  426
e531    216 481
e532    254 420
e533    263 350
e534    38  388
e535    11  452
e536    60  456
e537    125 266
e538    88  220
e539    12  228
e540    125 500
e541    418 481
e542    67  439
e543    286 339
e544    85  378
e545    394 461
e546    366 436
e547    244 327
e548    129 458
e549    115 275
e550    163 368
e551    10  93
e552    43  408
e553    14  16
e554    96  476
e555    39  400
e556    168 444
e557    275 413
e558    9   236
e559    316 415
e560    12  135
e561    304 385
e562    58  78
e563    124 145
e564    213 439
e565    131 497
e566    106 453
e567    145 337
e568    115 325
e569    25  74
e570    272 424
e571    283 363
e572    185 422
e573    227 422
e574    162 332
e575    319 394
e576    44  299
e577    141 357
e578    207 279
e579    16  350
e580    392 398
e581    37  302
e582    99  269
e583    215 434
e584    300 438
e585    185 298
e586    162 390
e587    363 393
e588    102 149
e589    119 157
e590    224 332
e591    382 462
e592    103 121
e593    88  307
e594    288 312
e595    59  409
e596    224 310
e597    32  127
e598    326 471
e599    184 417
e600    12  489
e601    122 225
e602    34  135
e603    154 232
e604    279 407
e605    177 209
e606    89  359
e607    19  175
e608    421 431
e609    417 497
e610    128 182
e611    13  404
e612    379 390
e613    375 439
e614    264 361
e615    323 392
e616    203 419
e617    169 320
e618    102 238
e619    348 487
e620    371 434
